Symbol,Date,Open,High,Low,Close,Volume
AAME,19-Sep-2012,2.74,2.75,2.61,2.75,5500
AAON,19-Sep-2012,9.1155,9.1511,8.8845,9,46100
AAPL,19-Sep-2012,100.0371,100.57,99.9386,100.3,11673500
AAWW,19-Sep-2012,55.29,56.66,55.17,56.5,171900
AAXJ,19-Sep-2012,56.6,56.7,56.35,56.6,376400
ABAX,19-Sep-2012,36.69,37.32,36.43,37.05,91900
ABCB,19-Sep-2012,12.63,12.79,12.57,12.65,29300
ABCD,19-Sep-2012,1.09,1.09,1.03,1.05,9300
ABCO,19-Sep-2012,47.14,48.03,46.69,47.46,238700
ABIO,19-Sep-2012,17.64,20.16,16.38,18.48,2281700
ABMD,19-Sep-2012,21.03,21.3,20.78,21.21,465600
ABTL,19-Sep-2012,3.61,3.61,3.56,3.56,8800
ACAD,19-Sep-2012,2.25,2.52,2.21,2.44,3179700
ACAS,19-Sep-2012,11.66,11.83,11.63,11.8,1836400
ACAT,19-Sep-2012,41.64,42.43,40.93,42.31,195800
ACET,19-Sep-2012,9.7,9.77,9.59,9.68,68400
ACFC,19-Sep-2012,2.11,2.3,2,2,3400
ACGL,19-Sep-2012,41.32,41.32,40.85,41.23,231500
ACHC,19-Sep-2012,22.81,23.32,22.81,23.2,134200
ACHN,19-Sep-2012,9.26,9.67,9.01,9.39,8067500
ACIW,19-Sep-2012,14.4867,14.51,14.1267,14.2367,249900
ACLS,19-Sep-2012,4.24,4.52,4.16,4.36,976900
ACNB,19-Sep-2012,15.3,15.45,15.3,15.45,1300
ACOR,19-Sep-2012,25.55,25.81,25.27,25.4,330200
ACPW,19-Sep-2012,4.4,4.4,4.15,4.25,217700
ACRX,19-Sep-2012,3.45,3.65,3.45,3.5,48500
ACTG,19-Sep-2012,28.79,28.93,28.39,28.58,387900
ACTS,19-Sep-2012,1.62,1.64,1.6,1.61,43900
ACUR,19-Sep-2012,1.91,2,1.75,1.82,49500
ACWI,19-Sep-2012,47.85,47.94,47.67,47.8,172900
ACWX,19-Sep-2012,40.6,40.72,40.47,40.65,61300
ACXM,19-Sep-2012,18.62,18.62,18.22,18.38,205500
ADBE,19-Sep-2012,32.8,33.17,32.46,33.12,7805200
ADES,19-Sep-2012,11.95,11.995,11.68,11.8,30900
ADI,19-Sep-2012,41.07,41.07,40.52,40.92,1875800
ADP,19-Sep-2012,51.4575,51.5539,51.2995,51.3169,2024700
ADRA,19-Sep-2012,24.85,24.94,24.85,24.94,500
ADRD,19-Sep-2012,20.58,20.73,20.56,20.73,7600
ADRE,19-Sep-2012,40.39,40.41,40.14,40.23,42300
ADRU,19-Sep-2012,20.72,20.72,20.61,20.61,2400
ADSK,19-Sep-2012,33.53,34.16,33.44,33.56,4014900
ADTN,19-Sep-2012,19.9,20.36,19.74,20.14,970600
ADUS,19-Sep-2012,5.2,5.25,5.2,5.25,7000
AEGN,19-Sep-2012,21.46,21.46,20.5,20.81,270000
AEGR,19-Sep-2012,15.36,15.41,14.82,14.87,186600
AEHR,19-Sep-2012,1.1,1.1,1.1,1.1,2200
AEIS,19-Sep-2012,13.67,13.67,13.24,13.28,262700
AEPI,19-Sep-2012,55.59,55.86,55.4,55.72,21900
