Symbol,Date,Open,High,Low,Close,Volume
AAME,04-May-2012,2.82,2.89,2.78,2.89,3100
AAON,04-May-2012,8.5422,8.6267,8.4355,8.5555,72000
AAPL,04-May-2012,82.44,82.6229,80.7386,80.75,18988500
AAWW,04-May-2012,52.6,52.8,51.6,51.97,507400
AAXJ,04-May-2012,55.99,56.01,55.46,55.54,108900
ABAX,04-May-2012,34.62,34.62,34.01,34.07,81200
ABCB,04-May-2012,12.08,12.11,11.77,11.91,66300
ABCD,04-May-2012,2.16,2.2,2.01,2.03,54500
ABCO,04-May-2012,48.29,48.29,46.9,46.94,168700
ABIO,04-May-2012,24.78,26.04,23.52,23.52,68500
ABMD,04-May-2012,23.54,23.54,23.18,23.21,407800
ABTL,04-May-2012,4.35,4.45,3.9,4.15,550300
ACAD,04-May-2012,1.54,1.54,1.49,1.5,878200
ACAS,04-May-2012,9.63,9.69,9.57,9.64,2665700
ACAT,04-May-2012,44.04,44.78,43.8,44.43,222600
ACET,04-May-2012,8.85,9.15,8.05,8.24,335900
ACFC,04-May-2012,2.14,2.35,2.14,2.25,9200
ACGL,04-May-2012,39.07,39.22,38.85,39.1,551300
ACHC,04-May-2012,17.5,17.54,16.95,17,92400
ACHN,04-May-2012,6.44,6.47,5.96,5.99,773400
ACIW,04-May-2012,13.4,13.4,12.7833,12.94,401000
ACLS,04-May-2012,4.8,5.36,4.8,5,1243100
ACNB,04-May-2012,14.45,14.45,14.45,14.45,0
ACOR,04-May-2012,24.01,24.16,23.45,23.52,638200
ACPW,04-May-2012,4.75,4.8,4.65,4.65,266300
ACRX,04-May-2012,3.79,3.8,3.42,3.8,7100
ACTG,04-May-2012,41.59,41.91,41.31,41.47,360100
ACTS,04-May-2012,1.68,1.69,1.64,1.69,128000
ACUR,04-May-2012,3.06,3.06,2.91,2.93,79900
ACWI,04-May-2012,46.03,46.04,45.46,45.5,549900
ACWX,04-May-2012,39.48,39.52,38.99,39.07,342100
ACXM,04-May-2012,13.49,13.62,13.08,13.11,264600
ADBE,04-May-2012,32.99,33.21,32.5,32.61,3014200
ADES,04-May-2012,14.125,14.37,13.84,14.2,56100
ADI,04-May-2012,38,38.12,37.39,37.5,1773900
ADP,04-May-2012,47.445,47.4977,46.9536,47.0236,2296000
ADRA,04-May-2012,24.49,24.58,24.49,24.54,1600
ADRD,04-May-2012,19.34,19.37,19.3,19.3,3400
ADRE,04-May-2012,40.85,40.85,40.16,40.25,26500
ADRU,04-May-2012,19.04,19.04,19.04,19.04,300
ADSK,04-May-2012,38.52,38.65,37.24,37.46,1959000
ADTN,04-May-2012,30.14,30.25,29.52,29.65,1150000
ADUS,04-May-2012,4.42,4.56,4.11,4.4,88600
AEGN,04-May-2012,18.12,18.12,17.6,17.79,208700
AEGR,04-May-2012,13.61,13.91,13.23,13.77,95800
AEHR,04-May-2012,1.45,1.47,1.4,1.4,4200
AEIS,04-May-2012,13.06,13.24,12.97,12.99,290400
AEPI,04-May-2012,34.69,34.86,34.36,34.46,15500
AETI,04-May-2012,4.64,4.68,4.6,4.6,4600
AEY,04-May-2012,2.46,2.46,2.42,2.42,1200
AEZS,04-May-2012,372,372,336,354,818300
AFAM,04-May-2012,24.51,24.62,23.63,23.98,64400
AFSI,04-May-2012,14.01,14.03,13.73,13.805,152600
AGEN,04-May-2012,6.24,6.35,6.16,6.27,109400
AGII,04-May-2012,28.92,29.11,28.79,28.87,120200
AGNC,04-May-2012,31.7,31.86,31.56,31.66,4120300
AGNCP,04-May-2012,25.55,25.55,25.4,25.45,83700
AGYS,04-May-2012,8.51,8.54,8.29,8.45,75200
AHGP,04-May-2012,44.46,44.6,43.67,44.56,30700
AHPI,04-May-2012,3.35,3.37,3.16,3.3,5900
AIMC,04-May-2012,16.94,16.94,16.29,16.35,137100
AINV,04-May-2012,7.13,7.19,7.04,7.04,1335500
AIRM,04-May-2012,29.1267,30.6067,28.43,30.3233,274800
AIRT,04-May-2012,9.5,9.65,9.38,9.38,4300
AIXG,04-May-2012,17.1,17.23,16.94,17.07,103400
AKAM,04-May-2012,32.97,33.03,32.37,32.56,3818100
AKRX,04-May-2012,12.38,12.53,12.06,12.07,932000
ALCO,04-May-2012,22.43,22.69,21.85,21.85,27200
ALGN,04-May-2012,32.1,32.1,31.17,31.48,534400
ALGT,04-May-2012,63.4,64.13,62.45,62.7,222300
ALIM,04-May-2012,2.73,2.87,2.7,2.79,68800
ALKS,04-May-2012,18.2,18.5,17.93,18.07,1774600
ALLT,04-May-2012,26.07,26.15,25.07,25.41,247100
ALNY,04-May-2012,10.39,10.49,9.69,9.78,392000
ALOG,04-May-2012,65.63,65.7,64.48,65.01,39600
ALOT,04-May-2012,8.6,8.6,8.2,8.21,4600
ALSK,04-May-2012,2.31,2.38,2.31,2.33,341500
ALXN,04-May-2012,90.4,90.44,86.66,87.28,1616500
AMAG,04-May-2012,15.95,16.22,15.73,15.76,101800
AMAT,04-May-2012,11.5,11.5,11.23,11.28,13761900
AMCC,04-May-2012,5.5,5.51,5.33,5.46,494200
AMCN,04-May-2012,2.82,2.9,2.76,2.76,15400
AMCX,04-May-2012,44.2,44.37,42.45,43.12,374000
AMD,04-May-2012,7.35,7.4,7.13,7.18,12321800
AMED,04-May-2012,14.5,14.6,13.99,14.52,466800
AMGN,04-May-2012,70.47,70.58,69.77,69.77,4214500
AMKR,04-May-2012,4.87,4.87,4.63,4.63,3619000
AMNB,04-May-2012,23.5,23.5,22.76,22.8,26200
AMOT,04-May-2012,7.96,8.1,7.96,7.99,14500
AMOV,04-May-2012,27.05,27.25,26.93,26.94,6000
AMRB,04-May-2012,7.1,7.4,7.1,7.25,1100
AMRI,04-May-2012,3,3.15,3,3.01,75400
AMRN,04-May-2012,12.25,12.48,11.96,12,4216300
AMRS,04-May-2012,2.68,2.9,2.67,2.73,328500
AMSC,04-May-2012,41,41.8,40.6,40.9,303700
AMSF,04-May-2012,26.32,26.33,25.95,26.13,53100
AMSG,04-May-2012,28.22,28.22,27.61,27.66,161800
AMSWA,04-May-2012,8.55,8.75,8.51,8.61,83700
AMWD,04-May-2012,17.38,17.38,16.18,16.31,23800
AMZN,04-May-2012,227.8,229.72,223.74,223.99,4587800
ANAT,04-May-2012,69.49,70.54,69.49,70.25,24400
ANCB,04-May-2012,11.2,11.24,11.1,11.1,10400
ANCX,04-May-2012,12.75,12.85,12.25,12.49,22300
ANDAU,04-May-2012,10,10,10,10,0
ANDE,04-May-2012,33.1067,33.1933,32.48,32.8067,82000
ANGI,04-May-2012,13.94,14.5,13.88,14.07,119100
ANGO,04-May-2012,12.12,12.14,12,12,77400
ANIK,04-May-2012,15.23,15.23,13.32,13.79,583500
ANSS,04-May-2012,62.15,62.82,60.79,62.41,1142500
ANTH,04-May-2012,14.56,14.56,13.36,14,384200
AOSL,04-May-2012,10.04,10.07,10,10.04,87800
APEI,04-May-2012,31.79,31.93,30.84,31.11,222500
APOG,04-May-2012,15.02,15.16,14.84,15.08,156600
APOL,04-May-2012,34.2,34.59,33.65,33.87,1467900
APPY,04-May-2012,32.64,35.04,31.2,31.2,19300
APRI,04-May-2012,25.5,26.9,23.4,26.7,278600
APWC,04-May-2012,3,3.11,2.9,3.11,13600
ARAY,04-May-2012,7.08,7.18,6.93,7.07,810300
ARCC,04-May-2012,15.93,15.95,15.77,15.77,928800
ARCI,04-May-2012,4.46,4.46,4.31,4.31,4200
ARCW,04-May-2012,1.2,1.2,1.2,1.2,0
AREX,04-May-2012,31.24,32.53,29.61,32.19,1615500
ARIA,04-May-2012,16.29,16.38,15.96,16.15,3673600
ARII,04-May-2012,25.5,25.5,24.7,24.9,70900
ARKR,04-May-2012,14.96,15,14.9,14.97,12500
ARLP,04-May-2012,31.16,31.16,30.26,30.815,113400
ARNA,04-May-2012,2.84,2.86,2.52,2.59,12001200
AROW,04-May-2012,23.65,23.65,23.36,23.39,26100
ARQL,04-May-2012,6.67,6.85,6.6,6.7,639900
ARRS,04-May-2012,12.73,12.84,12.55,12.55,1535300
ARRY,04-May-2012,3.4,3.4,3.21,3.23,964400
ARTNA,04-May-2012,18.87,18.87,18.43,18.43,17300
ARTW,04-May-2012,6.95,7.02,6.95,7.01,3100
ARTX,04-May-2012,1.16,1.16,1.15,1.15,1100
ARWR,04-May-2012,5.51,5.51,5.26,5.3,24300
ASBB,04-May-2012,13.6,13.89,13.6,13.89,1000
ASCMA,04-May-2012,51.01,51.22,50.15,51,44400
ASFI,04-May-2012,8.63,8.68,8.57,8.63,7300
ASML,04-May-2012,49.13,49.49,48.38,48.6,998400
ASNA,04-May-2012,21.06,22.07,21.06,21.99,3729600
ASPS,04-May-2012,59.15,59.15,56.97,57.19,93000
ASRV,04-May-2012,2.97,2.99,2.9,2.93,36200
ASRVP,04-May-2012,26.25,26.25,26.25,26.25,0
ASTC,04-May-2012,0.96,0.96,0.91,0.95,18500
ASTE,04-May-2012,29.69,29.69,28.74,28.76,120700
ASUR,04-May-2012,4.8,5.11,4.8,4.86,5700
ASYS,04-May-2012,7,7.17,6.84,6.94,87200
ATAI,04-May-2012,6.83,6.83,6.83,6.83,0
ATAX,04-May-2012,5.75,5.88,5.75,5.8,34400
ATEC,04-May-2012,25.92,26.28,25.32,25.68,141400
ATHN,04-May-2012,73.5,74.6,71.92,72.48,280900
ATHX,04-May-2012,1.35,1.39,1.3,1.33,76000
ATLO,04-May-2012,20.02,20.33,20.02,20.2,11800
ATNI,04-May-2012,39.67,40.7,39.38,39.77,78800
ATRC,04-May-2012,9.72,9.72,9.16,9.18,87500
ATRI,04-May-2012,229.98,230,228.2,229.3,4400
ATRO,04-May-2012,25.8083,25.8083,25.25,25.4083,32500
ATSG,04-May-2012,5.41,5.47,5.34,5.36,172900
ATVI,04-May-2012,12.61,12.62,12.28,12.36,13207000
AUBN,04-May-2012,22.9,23,22.9,22.99,600
AUDC,04-May-2012,2.29,2.29,2.08,2.23,100700
AVAV,04-May-2012,23.59,23.73,23.2,23.36,192700
AVEO,04-May-2012,11.41,11.58,11.03,11.31,369400
AVGO,04-May-2012,32.93,33.36,31.57,31.63,3919000
AVHI,04-May-2012,12.8,13.2,12.8,12.97,34600
AVID,04-May-2012,8.01,8.01,7.85,7.86,157700
AVNW,04-May-2012,33.84,34.32,32.88,33.36,284000
AWRE,04-May-2012,6.8,6.93,6.3,6.93,126200
AXAS,04-May-2012,2.8,2.95,2.8,2.9,1199800
AXTI,04-May-2012,4.05,4.13,4.01,4.05,378600
AZPN,04-May-2012,22.45,22.89,22.33,22.52,649000
BABY,04-May-2012,11.96,11.96,11.55,11.74,176400
BANF,04-May-2012,40.15,40.55,39.32,39.37,28600
BANFP,04-May-2012,28.18,28.18,28.18,28.18,0
BANR,04-May-2012,21.44,21.44,20.77,20.78,111200
BASI,04-May-2012,1.21,1.24,1.17,1.17,8400
BBBY,04-May-2012,69.71,69.82,67.91,68.05,2240300
BBGI,04-May-2012,5.81,5.87,5.57,5.57,5000
BBOX,04-May-2012,22.18,22.28,21.87,22.02,87700
BBRG,04-May-2012,20.17,20.17,19.65,19.73,126100
BBRY,04-May-2012,12.01,12.14,11.71,12.01,21302300
BBSI,04-May-2012,20.16,20.86,20.05,20.36,45200
BCBP,04-May-2012,10.43,10.45,10.35,10.35,1900
BCOM,04-May-2012,9.25,9.25,9.25,9.25,300
BCOV,04-May-2012,19.07,20.5,19,19.31,182000
BCPC,04-May-2012,29.33,29.72,29.05,29.25,201800
BCRX,04-May-2012,3.46,3.53,3.31,3.37,298200
BDE,04-May-2012,9.53,9.57,8.78,9.11,227400
BDGE,04-May-2012,19.4,19.4,18.68,19.15,31300
BDSI,04-May-2012,3.82,3.82,3.66,3.8,272400
BEAT,04-May-2012,2.72,2.73,2.66,2.69,59300
BEAV,04-May-2012,46.02,46.02,45,45.23,799600
BEBE,04-May-2012,6.83,7,6.1,6.27,3005800
BECN,04-May-2012,26.18,26.27,25.7,25.89,273700
BELFA,04-May-2012,18.82,19.54,18.6,18.78,6400
BELFB,04-May-2012,17.98,18.03,16.9,16.9,40400
BFIN,04-May-2012,6.9,7,6.8,6.98,52000
BGCP,04-May-2012,6.82,6.84,6.7,6.7,811800
BGFV,04-May-2012,7.47,7.55,7.3,7.4,70000
BIB,04-May-2012,11.875,11.875,11.6238,11.6238,6800
BICK,04-May-2012,24.93,24.93,24.58,24.63,13000
BIDU,04-May-2012,132.01,133,130,130.02,3954600
BIIB,04-May-2012,132.99,133.32,130.52,130.97,1070100
BIOC,04-May-2012,16.89,17.25,16.47,16.74,3800
BIOD,04-May-2012,2.8,3,2.8,2.96,98400
BIOS,04-May-2012,7.74,7.75,7.43,7.44,197800
BIS,04-May-2012,89.24,92.68,89.24,92.68,3900
BJRI,04-May-2012,43.46,44.21,43.19,44.08,728800
BKCC,04-May-2012,9.54,9.54,9.31,9.39,373400
BKEP,04-May-2012,6.92,7,6.88,7,20100
BKEPP,04-May-2012,9.23,9.23,8.87,8.9,1500
BKMU,04-May-2012,3.78,3.81,3.71,3.72,116000
BKSC,04-May-2012,11.2,11.5,11.17,11.17,500
BLDP,04-May-2012,1.32,1.33,1.29,1.31,61000
BLDR,04-May-2012,4.11,4.12,3.81,3.81,271000
BLIN,04-May-2012,6.45,6.45,6.25,6.25,5000
BLKB,04-May-2012,29.17,29.79,27.38,28.96,666100
BLMT,04-May-2012,12.3,12.3,12.14,12.24,7300
BLRX,04-May-2012,2.78,2.78,2.58,2.59,47600
BMRC,04-May-2012,36,36.2,35.23,35.62,27300
BMRN,04-May-2012,36.65,36.65,35.62,35.79,992000
BMTC,04-May-2012,20.81,20.91,20.36,20.67,25900
BNCL,04-May-2012,8.56,8.67,8.54,8.54,74400
BNCN,04-May-2012,7.67,7.67,7.55,7.55,1500
BNSO,04-May-2012,1.24,1.25,1.24,1.25,4500
BOBE,04-May-2012,38.82,38.91,37.85,38.01,110100
BOCH,04-May-2012,4.12,4.12,4.03,4.08,19900
BOFI,04-May-2012,4.475,4.6525,4.475,4.5875,148500
BOKF,04-May-2012,57,57.72,56.64,57.14,93400
BONT,04-May-2012,5.73,5.9,5.61,5.77,366700
BOOM,04-May-2012,19.71,19.71,19.06,19.31,86400
BOSC,04-May-2012,3.48,3.48,3.48,3.48,2800
BOTJ,04-May-2012,5.36,5.36,5.36,5.36,0
BPFH,04-May-2012,9.07,9.2,8.92,9.07,602900
BPFHW,04-May-2012,3.9,3.9,3.9,3.9,400
BPOP,04-May-2012,17.2,17.3,16.8,16.9,5506100
BPOPM,04-May-2012,20,20,20,20,500
BPOPN,04-May-2012,21.81,21.85,21.17,21.84,2800
BRCD,04-May-2012,5.36,5.37,5.09,5.18,6430300
BREW,04-May-2012,7.5,7.5,7.29,7.38,37300
BRID,04-May-2012,9.05,9.07,9.05,9.07,200
BRKL,04-May-2012,8.94,8.97,8.85,8.88,321100
BRKR,04-May-2012,15.65,15.81,15.34,15.5,438200
BRKS,04-May-2012,11.03,11.03,10.74,10.75,261400
BSET,04-May-2012,10.67,10.73,10.61,10.7,27800
BSFT,04-May-2012,44,44,40.65,40.89,728400
BSPM,04-May-2012,10.57,10.92,10.15,10.22,25100
BSQR,04-May-2012,2.97,3.01,2.97,2.97,17200
BSRR,04-May-2012,9.05,9.07,8.98,8.98,18200
BSTC,04-May-2012,14.02,14.25,13.56,13.7,13500
BUR,04-May-2012,7.14,7.14,7.14,7.14,0
BUSE,04-May-2012,4.5,4.53,4.42,4.43,178700
BV,04-May-2012,18.39,19.16,18.06,18.93,204300
BVSN,04-May-2012,19.63,20.78,18.55,19.55,268900
BWEN,04-May-2012,3.4,3.6,3.4,3.4,500600
BWINA,04-May-2012,23.43,23.43,23.43,23.43,0
BWINB,04-May-2012,21.94,22.02,20.93,20.95,17000
BWLD,04-May-2012,84.79,85.33,83.86,83.97,350100
BYFC,04-May-2012,1.49,1.49,1.49,1.49,0
CA,04-May-2012,26.54,26.58,26.19,26.29,6520000
CAAS,04-May-2012,5.01,5.14,5.01,5.06,38500
CAC,04-May-2012,31.71,32.21,31.04,31.04,22500
CACB,04-May-2012,5.09,5.33,4.71,4.71,12000
CACC,04-May-2012,88.54,89.08,84.22,84.77,110000
CADC,04-May-2012,25.44,25.8,24.96,25.44,6400
CAKE,04-May-2012,32.08,32.21,31.69,32.01,901400
CALD,04-May-2012,6.16,6.28,6,6.07,788800
CALI,04-May-2012,4.2,4.74,4.2,4.74,30100
CALL,04-May-2012,20.89,23.1,20.58,20.84,1041100
CALM,04-May-2012,18.125,18.19,18.055,18.09,126000
CAMP,04-May-2012,5.9,6.11,5.62,6.01,176700
CAMT,04-May-2012,2.47,2.5,2.33,2.42,10200
CAR,04-May-2012,15.99,16.05,15.48,15.9,2658700
CARB,04-May-2012,7.71,7.73,7.4,7.61,253200
CART,04-May-2012,2.5,2.5,2.5,2.5,10000
CARV,04-May-2012,4.99,4.99,4.99,4.99,600
CARZ,04-May-2012,26.15,26.15,25.85,25.89,1800
CASH,04-May-2012,20.25,20.54,20.25,20.51,1400
CASM,04-May-2012,2.25,2.3,2.25,2.3,1600
CASS,04-May-2012,38.54,38.54,37.5,37.57,18300
CASY,04-May-2012,56.63,57.47,56.08,57.1,249400
CATM,04-May-2012,29.58,29.6,28.73,28.9,486400
CATY,04-May-2012,16.84,16.92,16.56,16.65,465700
CAVM,04-May-2012,25.18,26.3,25.1,25.94,2385000
CBAK,04-May-2012,3.9,4.05,3.8,3.85,90600
CBAN,04-May-2012,4.21,4.21,4.19,4.2,1500
CBLI,04-May-2012,30.4,31.2,29.2,31,100600
CBMX,04-May-2012,156,156,156,156,0
CBMXW,04-May-2012,2,2,2,2,0
CBOE,04-May-2012,26.01,26.08,25.63,25.88,364700
