Symbol,Date,Open,High,Low,Close,Volume
AAME,29-Feb-2012,2.74,2.78,2.65,2.67,13000
AAON,29-Feb-2012,8.5467,8.6355,8.2267,8.2445,46400
AAPL,29-Feb-2012,77.3271,78.23,76.5286,77.4914,34000000
AAWW,29-Feb-2012,42.88,43.5,41.82,42.62,425600
AAXJ,29-Feb-2012,58.33,58.67,58,58.13,529400
ABAX,29-Feb-2012,26.96,27.2,26.37,26.56,172500
ABCB,29-Feb-2012,11.66,11.77,11.46,11.52,111300
ABCD,29-Feb-2012,3.03,3.09,2.87,2.87,49500
ABCO,29-Feb-2012,40.67,40.885,40.32,40.47,188800
ABIO,29-Feb-2012,42.42,42.42,41.16,41.16,43500
ABMD,29-Feb-2012,21.45,21.79,20.87,20.88,411900
ABTL,29-Feb-2012,4.9,5,4.8,4.85,67900
ACAD,29-Feb-2012,1.74,1.74,1.67,1.67,157000
ACAS,29-Feb-2012,8.98,9.06,8.84,8.91,4824400
ACAT,29-Feb-2012,37.2,37.2,36.6,36.78,306800
ACET,29-Feb-2012,8.56,8.58,8.11,8.29,244800
ACFC,29-Feb-2012,2.1,2.1,2.1,2.1,300
ACGL,29-Feb-2012,36.85,37.15,36.62,37.05,878700
ACHC,29-Feb-2012,14.01,14.07,13.88,13.99,33900
ACHN,29-Feb-2012,10.56,10.9,10.22,10.5,1015400
ACIW,29-Feb-2012,12.9033,12.91,12.5733,12.5933,427000
ACLS,29-Feb-2012,6.88,6.96,6.48,6.64,1032200
ACNB,29-Feb-2012,14.32,14.35,14.31,14.35,400
ACOR,29-Feb-2012,27.49,27.74,26.16,26.16,533900
ACPW,29-Feb-2012,3.7,3.75,3.5,3.5,484500
ACRX,29-Feb-2012,2.91,2.95,2.75,2.82,3200
ACTG,29-Feb-2012,41.01,41.09,39.39,39.5,315500
ACTS,29-Feb-2012,1.69,1.71,1.66,1.71,132700
ACUR,29-Feb-2012,3.35,3.38,3.24,3.24,53800
ACWI,29-Feb-2012,47.05,47.17,46.58,46.68,1768200
ACWX,29-Feb-2012,41.6,41.68,40.99,41.03,213400
ACXM,29-Feb-2012,14.21,14.25,13.96,14.04,612100
ADBE,29-Feb-2012,33.21,33.44,32.86,32.89,4103000
ADES,29-Feb-2012,11.335,11.36,11.09,11.235,27200
ADI,29-Feb-2012,39.7,39.77,39.15,39.21,2958500
ADP,29-Feb-2012,47.8841,48.0861,47.6207,47.691,2266100
ADRA,29-Feb-2012,26.49,26.49,25.99,25.99,7600
ADRD,29-Feb-2012,20.6,20.6,20.43,20.43,7500
ADRE,29-Feb-2012,44.34,44.48,43.73,43.73,51600
ADRU,29-Feb-2012,20,20.04,19.9,20.04,1900
ADSK,29-Feb-2012,38.05,38.42,37.55,37.85,2784700
ADTN,29-Feb-2012,37.49,37.85,34.98,35.25,2219500
ADUS,29-Feb-2012,3.7,3.73,3.58,3.6,22800
AEGN,29-Feb-2012,18.2,18.37,17.56,17.61,571300
AEGR,29-Feb-2012,16.7,17.25,16.64,16.73,45200
AEHR,29-Feb-2012,0.8,0.8,0.8,0.8,5000
AEIS,29-Feb-2012,12.21,12.36,11.98,12,354100
AEPI,29-Feb-2012,35.11,35.45,34.75,34.89,7800
AETI,29-Feb-2012,4.31,4.75,4.31,4.75,26600
AEY,29-Feb-2012,2.16,2.19,2.14,2.17,10400
AEZS,29-Feb-2012,996,1044,990,1032,2210500
AFAM,29-Feb-2012,23.49,23.49,22.41,22.88,177400
AFSI,29-Feb-2012,13.625,13.845,13.48,13.505,208500
AGEN,29-Feb-2012,3.22,3.28,3.18,3.19,44400
AGII,29-Feb-2012,30,30.27,29.78,29.85,103000
AGNC,29-Feb-2012,30.8,30.87,30.62,30.71,6546900
AGYS,29-Feb-2012,8.21,8.42,7.9,8.05,156500
AHGP,29-Feb-2012,50.57,50.78,50.17,50.31,21300
AHPI,29-Feb-2012,3.35,3.35,3.29,3.35,500
AIMC,29-Feb-2012,19.99,20.08,19.47,19.49,128400
AINV,29-Feb-2012,7.13,7.23,7.02,7.02,1955800
AIRM,29-Feb-2012,29.8433,30.99,29.8433,30.0767,89900
AIRT,29-Feb-2012,9.04,9.41,9.04,9.29,11700
AIXG,29-Feb-2012,17.14,17.18,16.38,16.39,281400
AKAM,29-Feb-2012,36.81,36.94,35.84,36,3675100
AKRX,29-Feb-2012,12.86,13,12.52,12.53,1159200
ALCO,29-Feb-2012,23.95,23.99,23.26,23.26,10100
ALGN,29-Feb-2012,26.74,26.92,25.35,25.61,1060100
ALGT,29-Feb-2012,50.1,50.71,49.84,49.98,224700
ALIM,29-Feb-2012,3.93,4.03,3.1,3.76,1979900
ALKS,29-Feb-2012,17.61,17.99,17.38,17.66,1154700
ALLT,29-Feb-2012,17.92,18.09,17.7,17.85,196500
ALNY,29-Feb-2012,13.5,13.73,13.18,13.34,1369600
ALOG,29-Feb-2012,58.71,58.75,56.85,56.95,51700
ALOT,29-Feb-2012,8.09,8.09,8.09,8.09,0
ALSK,29-Feb-2012,3.06,3.2,3,3.2,1206900
ALXN,29-Feb-2012,84.63,84.94,83.46,83.73,1108200
AMAG,29-Feb-2012,16.1,16.1,15.81,15.81,65800
AMAT,29-Feb-2012,12.54,12.56,12.21,12.25,22132800
AMCC,29-Feb-2012,7.01,7.01,6.71,6.78,956500
AMCN,29-Feb-2012,2.96,3.01,2.9,2.98,84600
AMCX,29-Feb-2012,45.4,46,45.11,45.39,274200
AMD,29-Feb-2012,7.52,7.55,7.34,7.35,13952400
AMED,29-Feb-2012,12.55,13.3,12.52,12.85,1443800
AMGN,29-Feb-2012,68.16,68.58,67.9,68.01,4155200
AMKR,29-Feb-2012,6.66,6.73,6.35,6.39,2097500
AMNB,29-Feb-2012,21.25,21.44,21.01,21.25,4100
AMOT,29-Feb-2012,7.07,7.16,6.91,7.15,12100
AMOV,29-Feb-2012,24,24.07,23.9,23.9,3100
AMRB,29-Feb-2012,6.92,6.92,6.64,6.74,10800
AMRI,29-Feb-2012,2.76,2.88,2.74,2.74,139800
AMRN,29-Feb-2012,8.89,8.99,7.42,7.75,8939900
AMRS,29-Feb-2012,5.73,5.73,5.33,5.38,890300
AMSC,29-Feb-2012,43.2,46.2,43,44.8,962800
AMSF,29-Feb-2012,22.9,22.96,22.37,22.56,112800
AMSG,29-Feb-2012,27.01,27.16,25.98,26.13,222800
AMSWA,29-Feb-2012,8.67,8.78,8.31,8.31,105800
AMTD,29-Feb-2012,18.05,18.75,18.01,18.67,7515100
AMWD,29-Feb-2012,15.31,15.31,14.06,14.21,26300
AMZN,29-Feb-2012,183.89,184,179.01,179.69,5302500
ANAT,29-Feb-2012,72.62,72.82,72.1,72.1,39000
ANCB,29-Feb-2012,9.21,9.21,9.05,9.05,300
ANCX,29-Feb-2012,10.25,10.49,10.25,10.42,21800
ANDE,29-Feb-2012,28.7,29.6467,28.6933,28.7267,203100
ANGI,29-Feb-2012,15.95,16.31,15.73,16,48900
ANGO,29-Feb-2012,13.19,13.32,13,13.02,147000
ANIK,29-Feb-2012,11.65,11.7,11.25,11.36,78600
ANSS,29-Feb-2012,64.38,64.62,63.18,63.18,333800
ANTH,29-Feb-2012,53.36,55.44,52.8,52.96,124300
AOSL,29-Feb-2012,10.44,10.44,9.9,9.91,36500
APEI,29-Feb-2012,42.74,44.13,38.78,39.16,779400
APOG,29-Feb-2012,13.93,14.01,13.25,13.27,136500
APOL,29-Feb-2012,43.08,44.39,42.29,42.64,6047100
APPY,29-Feb-2012,48.48,49.44,40.32,42.24,211600
APRI,29-Feb-2012,34.7,35.1,33.6,34.2,246000
APWC,29-Feb-2012,3.37,3.45,3.36,3.37,3600
ARAY,29-Feb-2012,6.9,7.17,6.76,6.78,570700
ARCC,29-Feb-2012,16.62,16.8,16.54,16.67,2149900
ARCI,29-Feb-2012,5.5,5.6,5,5.06,73300
ARCW,29-Feb-2012,1.432,1.432,1.356,1.356,1200
AREX,29-Feb-2012,36.88,37.46,34.5,34.56,708800
ARIA,29-Feb-2012,14.46,14.82,14.19,14.35,4335200
ARII,29-Feb-2012,30.43,30.98,29.16,29.5,100100
ARKR,29-Feb-2012,16.09,16.1,16.01,16.1,1100
ARLP,29-Feb-2012,35.66,36.12,35.655,35.885,69500
ARNA,29-Feb-2012,1.89,1.89,1.78,1.78,5212100
AROW,29-Feb-2012,24.86,24.92,24.02,24.06,46600
ARQL,29-Feb-2012,7.4,7.49,7.03,7.1,329000
ARRS,29-Feb-2012,11.56,11.68,11.39,11.39,931500
ARRY,29-Feb-2012,2.95,3.02,2.79,2.81,2543600
ARTNA,29-Feb-2012,19.33,19.33,19,19.1,23500
ARTW,29-Feb-2012,7.65,7.77,7.6,7.65,5400
ARTX,29-Feb-2012,1.3,1.3,1.25,1.25,10500
ARWR,29-Feb-2012,5.46,5.59,5.35,5.39,101800
ASBB,29-Feb-2012,11.98,12.05,11.98,12.05,23300
ASCMA,29-Feb-2012,48.32,49.34,48.2,49.24,68400
ASFI,29-Feb-2012,7.88,7.94,7.88,7.88,7000
ASML,29-Feb-2012,46.96,47.08,45.46,45.55,3077600
ASNA,29-Feb-2012,19.255,19.52,19.21,19.3,1403100
ASPS,29-Feb-2012,64.8,65.21,63.58,64.44,144200
ASRV,29-Feb-2012,2.57,2.57,2.52,2.52,23600
ASRVP,29-Feb-2012,25.15,25.15,25.15,25.15,0
ASTC,29-Feb-2012,0.72,0.75,0.72,0.75,7400
ASTE,29-Feb-2012,39.16,39.69,37.84,37.95,119800
ASUR,29-Feb-2012,5.1,5.1,4.88,4.9933,13000
ASYS,29-Feb-2012,9.03,9.15,8.74,8.76,131500
ATAI,29-Feb-2012,6.23,6.28,6.01,6.2,10700
ATAX,29-Feb-2012,5.33,5.38,5.29,5.3,20200
ATEC,29-Feb-2012,24,24,21.84,22.56,319000
ATHN,29-Feb-2012,71.57,72.3,69.64,70.67,579700
ATHX,29-Feb-2012,1.95,2.05,1.91,2.02,93100
ATLO,29-Feb-2012,21.96,22,21.65,21.65,12000
ATNI,29-Feb-2012,39.63,39.99,38.31,38.32,29000
