Symbol,Date,Open,High,Low,Close,Volume
AAME,18-Jul-2012,2.62,2.8,2.62,2.75,6200
AAON,18-Jul-2012,9.0222,9.2489,8.9822,9.1955,22500
AAPL,18-Jul-2012,86.6557,86.9057,86.2229,86.6086,9024900
AAWW,18-Jul-2012,45.13,46.6,44.76,46.54,122400
AAXJ,18-Jul-2012,51.55,52.22,51.55,52.1,144800
ABAX,18-Jul-2012,39.73,40.58,39.61,39.81,107000
ABCB,18-Jul-2012,12.41,12.87,12.41,12.65,37200
ABCD,18-Jul-2012,1.06,1.1,1.04,1.09,27300
ABCO,18-Jul-2012,50.2,50.2,49.19,49.5,109100
ABIO,18-Jul-2012,21.42,24.36,21,22.68,343100
ABMD,18-Jul-2012,24.15,24.93,23.5,23.93,698600
ABTL,18-Jul-2012,3.65,3.65,3.51,3.56,71800
ACAD,18-Jul-2012,1.62,1.63,1.58,1.58,265000
ACAS,18-Jul-2012,9.81,9.95,9.79,9.82,2436200
ACAT,18-Jul-2012,36.05,38.08,35.99,37.8,83300
ACET,18-Jul-2012,9.52,9.61,9.19,9.23,161400
ACFC,18-Jul-2012,2.41,2.58,2.41,2.58,1500
ACGL,18-Jul-2012,39.57,39.85,39.52,39.65,390700
ACHC,18-Jul-2012,17,17.32,16.09,17.21,938800
ACHN,18-Jul-2012,6.64,6.8,6.58,6.75,490600
ACIW,18-Jul-2012,14.9933,15.1233,14.6933,14.9167,443000
ACLS,18-Jul-2012,3.56,3.72,3.52,3.6,3263500
ACNB,18-Jul-2012,14.5,14.5,14.5,14.5,100
ACOR,18-Jul-2012,25.51,26,25.41,25.67,181100
ACPW,18-Jul-2012,3.95,4.2,3.85,3.95,238000
ACRX,18-Jul-2012,3.39,3.4,3.3,3.3,24300
ACTG,18-Jul-2012,39.3,39.8,39.05,39.73,265600
ACTS,18-Jul-2012,1.68,1.69,1.66,1.66,1800
ACUR,18-Jul-2012,3.01,3.13,3.01,3.11,15600
ACWI,18-Jul-2012,43.64,44.16,43.59,44.09,912100
ACWX,18-Jul-2012,36.67,37.1,36.64,37.05,183300
ACXM,18-Jul-2012,16,16.2,15.85,16.02,440700
