Symbol,Date,Open,High,Low,Close,Volume
AAME,29-Aug-2012,2.68,2.72,2.66,2.72,20700
AAON,29-Aug-2012,8.1822,8.2533,8.0222,8.2,26800
AAPL,29-Aug-2012,96.4643,96.81,96.0857,96.21,7243000
AAWW,29-Aug-2012,50.56,51.65,50.39,51.56,128300
AAXJ,29-Aug-2012,53.35,53.44,53.12,53.26,178100
ABAX,29-Aug-2012,37.97,38.44,37.5,38.1,49000
ABCB,29-Aug-2012,12.1,12.14,12,12.07,18700
ABCD,29-Aug-2012,0.96,1.03,0.96,0.97,11600
ABCO,29-Aug-2012,43.64,44.49,43.46,44.4,217200
ABIO,29-Aug-2012,15.54,16.8,15.54,15.54,363500
ABMD,29-Aug-2012,22.5,22.68,22.39,22.53,449100
ABTL,29-Aug-2012,3.77,3.8,3.56,3.69,14100
ACAD,29-Aug-2012,1.79,1.8,1.76,1.78,294700
ACAS,29-Aug-2012,11.2,11.22,11.12,11.12,1942200
ACAT,29-Aug-2012,44.15,44.7,43.9,44.46,91000
ACET,29-Aug-2012,8.45,8.63,8.34,8.63,74200
ACFC,29-Aug-2012,2.13,2.13,2.1,2.1,1600
ACGL,29-Aug-2012,40.07,40.39,39.95,40.07,268700
ACHC,29-Aug-2012,18.4,19.17,18.29,18.95,116800
ACHN,29-Aug-2012,6.75,7,6.72,6.75,1436200
ACIW,29-Aug-2012,14.96,15,14.6733,14.9367,193100
ACLS,29-Aug-2012,4.2,4.32,4.12,4.28,540300
ACNB,29-Aug-2012,15,15.05,14.97,15,16200
ACOR,29-Aug-2012,23.4,23.57,23.07,23.14,287700
ACPW,29-Aug-2012,4,4,3.95,4,40300
ACRX,29-Aug-2012,3,3.05,2.99,3,15100
ACTG,29-Aug-2012,25.68,25.81,25.24,25.59,393400
ACTS,29-Aug-2012,1.66,1.66,1.6,1.6,25600
ACUR,29-Aug-2012,1.61,1.62,1.55,1.57,26800
ACWI,29-Aug-2012,45.59,45.73,45.56,45.64,1436800
ACWX,29-Aug-2012,38.38,38.38,38.16,38.25,55900
ACXM,29-Aug-2012,17.01,17.19,16.56,17.06,233200
ADBE,29-Aug-2012,32.14,32.24,31.61,31.96,4560800
ADES,29-Aug-2012,11.59,11.695,11.53,11.595,14900
ADI,29-Aug-2012,39.01,39.6,39.01,39.52,1357700
ADP,29-Aug-2012,51.2028,51.3608,50.9658,51.2555,843200
ADRA,29-Aug-2012,23.76,23.85,23.67,23.67,3200
ADRD,29-Aug-2012,19.5,19.59,19.5,19.51,2500
ADRE,29-Aug-2012,38.05,38.05,37.62,37.76,34400
ADRU,29-Aug-2012,19.38,19.4,19.34,19.34,3800
ADSK,29-Aug-2012,31.34,31.51,30.66,30.92,4200300
ADTN,29-Aug-2012,20.83,21.12,20.25,21.06,946500
ADUS,29-Aug-2012,4.85,4.86,4.75,4.75,6800
AEGN,29-Aug-2012,19.74,20,19.43,19.61,119900
AEGR,29-Aug-2012,13.41,13.57,13.32,13.48,23700
AEHR,29-Aug-2012,1.15,1.15,1.15,1.15,300
AEIS,29-Aug-2012,13,13.06,12.81,12.91,219200
AEPI,29-Aug-2012,49.5,50.24,49.39,49.95,18000
AETI,29-Aug-2012,4.35,4.45,4.27,4.45,28500
AEY,29-Aug-2012,2.1,2.19,2.1,2.19,20600
AEZS,29-Aug-2012,294,294,282,288,487000
AFAM,29-Aug-2012,21.97,22.96,21.95,22.88,30600
AFSI,29-Aug-2012,14.405,14.5,14.305,14.4,182300
AGEN,29-Aug-2012,4.64,4.78,4.62,4.75,61400
AGII,29-Aug-2012,30.18,30.18,29.84,29.98,49600
