Symbol,Date,Open,High,Low,Close,Volume
AAME,25-Apr-2012,2.86,2.94,2.85,2.93,4000
AAON,25-Apr-2012,8.7733,8.8845,8.64,8.76,34500
AAPL,25-Apr-2012,87.9486,88.2857,86.5714,87.1429,32346800
AAWW,25-Apr-2012,46.01,46.01,44.48,45.31,203500
AAXJ,25-Apr-2012,55.7,55.94,55.58,55.92,113000
ABAX,25-Apr-2012,29,29.65,28.88,29.63,167600
ABCB,25-Apr-2012,12.17,12.87,12.17,12.69,152000
ABCD,25-Apr-2012,2.6,2.75,2.49,2.6,21200
ABCO,25-Apr-2012,44.42,44.88,43.84,44.23,97300
ABIO,25-Apr-2012,29.4,30.24,28.56,30.24,32400
ABMD,25-Apr-2012,23.14,23.64,22.99,23.62,657500
ABTL,25-Apr-2012,4.6,4.6,4.35,4.6,63200
ACAD,25-Apr-2012,1.5,1.57,1.47,1.49,380300
ACAS,25-Apr-2012,9.11,9.36,8.97,9.29,4656500
ACAT,25-Apr-2012,44.9,46.25,44.47,44.68,156000
ACET,25-Apr-2012,9.19,9.28,8.99,9.06,88400
ACFC,25-Apr-2012,2.17,2.17,2.17,2.17,100
ACGL,25-Apr-2012,39,39.1,38.87,39.07,673900
ACHC,25-Apr-2012,15.34,16.66,15.31,16.55,76400
ACHN,25-Apr-2012,7.08,7.19,6.68,6.88,881800
ACIW,25-Apr-2012,12.96,13.18,12.8733,13.0833,181100
ACLS,25-Apr-2012,6,6.04,5.88,6.04,364900
ACNB,25-Apr-2012,14.62,14.62,14.4,14.4,1500
ACOR,25-Apr-2012,24.84,25.29,24.72,25.1,581300
ACPW,25-Apr-2012,4.3,4.3,4.15,4.25,511600
ACRX,25-Apr-2012,3.25,3.25,3.25,3.25,600
ACTG,25-Apr-2012,38.75,40.33,38.36,40.31,832300
ACTS,25-Apr-2012,1.68,1.68,1.63,1.67,31800
ACUR,25-Apr-2012,3.28,3.31,3.22,3.24,29700
ACWI,25-Apr-2012,46.33,46.46,46.22,46.44,579600
