Symbol,Date,Open,High,Low,Close,Volume
AAME,30-Aug-2012,2.7,2.72,2.7,2.72,1100
AAON,30-Aug-2012,8.1378,8.1733,8.12,8.1333,12600
AAPL,30-Aug-2012,95.8057,95.9357,94.6929,94.8386,10810300
AAWW,30-Aug-2012,51.24,51.62,50.51,51.36,195800
AAXJ,30-Aug-2012,52.82,52.87,52.58,52.64,737900
ABAX,30-Aug-2012,37.84,37.92,37.31,37.69,36800
ABCB,30-Aug-2012,12.05,12.05,11.94,11.97,10900
ABCD,30-Aug-2012,1.01,1.16,0.97,1.02,17200
ABCO,30-Aug-2012,44.27,44.39,43.92,44.17,136800
ABIO,30-Aug-2012,16.38,16.38,14.7,15.54,254000
ABMD,30-Aug-2012,22.25,22.28,21.89,22.14,219600
ABTL,30-Aug-2012,3.74,3.76,3.62,3.65,6600
ACAD,30-Aug-2012,1.75,1.79,1.75,1.79,222600
ACAS,30-Aug-2012,11.07,11.1,10.96,11,2656100
ACAT,30-Aug-2012,44.2,44.41,42.96,43.01,101900
ACET,30-Aug-2012,8.59,8.81,8.58,8.75,33200
ACFC,30-Aug-2012,2.1,2.1,2.1,2.1,0
ACGL,30-Aug-2012,40.1,40.11,39.57,39.63,464600
ACHC,30-Aug-2012,19.04,19.04,18.44,18.98,79400
ACHN,30-Aug-2012,6.74,6.82,6.42,6.57,603300
ACIW,30-Aug-2012,14.8467,14.94,14.58,14.5867,203600
ACLS,30-Aug-2012,4.28,4.36,4,4.16,524100
ACNB,30-Aug-2012,15,15,15,15,0
ACOR,30-Aug-2012,23.08,23.31,22.88,23.03,122700
ACPW,30-Aug-2012,3.95,4,3.9,3.9,88400
ACRX,30-Aug-2012,3.03,3.03,2.95,2.98,5000
ACTG,30-Aug-2012,25.48,26.01,25.19,25.59,507700
ACTS,30-Aug-2012,1.62,1.68,1.6,1.65,29900
ACUR,30-Aug-2012,1.57,1.6,1.57,1.57,17800
ACWI,30-Aug-2012,45.41,45.42,45.08,45.15,196200
ACWX,30-Aug-2012,38.05,38.06,37.67,37.72,151800
ACXM,30-Aug-2012,16.99,17.16,16.85,17.11,302900
ADBE,30-Aug-2012,31.77,31.85,31.35,31.46,3174700
ADES,30-Aug-2012,11.535,11.655,11.415,11.47,38900
ADI,30-Aug-2012,39.46,39.69,39.14,39.39,1557500
ADP,30-Aug-2012,51.0535,51.1678,50.8164,50.8604,1383800
ADRA,30-Aug-2012,23.31,23.34,23.3,23.34,700
ADRD,30-Aug-2012,19.35,19.35,19.3,19.3,1700
ADRE,30-Aug-2012,37.49,37.53,37.33,37.45,18500
ADRU,30-Aug-2012,19.37,19.37,19.17,19.17,1400
ADSK,30-Aug-2012,30.85,30.87,30.19,30.41,2775100
ADTN,30-Aug-2012,20.69,21.06,20.54,20.66,1625300
ADUS,30-Aug-2012,4.8,4.86,4.8,4.82,51700
AEGN,30-Aug-2012,19.4,19.5,19.15,19.26,83400
AEGR,30-Aug-2012,13.45,13.52,13.36,13.48,66000
AEHR,30-Aug-2012,1.15,1.17,1.1,1.11,6000
AEIS,30-Aug-2012,12.8,12.83,12.62,12.64,224500
AEPI,30-Aug-2012,49.78,50.36,49.78,50.09,11000
AETI,30-Aug-2012,4.41,4.5,4.3,4.5,24000
AEY,30-Aug-2012,2.19,2.27,2.15,2.15,21400
AEZS,30-Aug-2012,288,288,282,288,266100
AFAM,30-Aug-2012,22.77,22.82,22.43,22.55,24800
AFSI,30-Aug-2012,13.34,13.38,13.005,13.025,195600
AGEN,30-Aug-2012,4.72,4.77,4.62,4.71,44200
AGII,30-Aug-2012,29.8,29.98,29.4,29.73,43200
AGNC,30-Aug-2012,34.65,34.76,34.55,34.65,3576600
AGNCP,30-Aug-2012,26.86,26.86,26.78,26.81,15600
AGYS,30-Aug-2012,8.49,8.56,8.25,8.32,16300
AHGP,30-Aug-2012,47.56,48.25,47.52,48.2,86000
AHPI,30-Aug-2012,2.69,2.69,2.69,2.69,0
AIMC,30-Aug-2012,18.54,18.63,18.17,18.21,88700
AINV,30-Aug-2012,8.07,8.09,8,8.02,803200
AIRM,30-Aug-2012,38.7867,38.7867,38.3633,38.6267,42500
AIRT,30-Aug-2012,8.62,8.62,8.62,8.62,0
AIXG,30-Aug-2012,14.91,14.91,14.68,14.76,23500
AKAM,30-Aug-2012,37.43,37.51,37.03,37.31,1724200
AKRX,30-Aug-2012,13.35,13.53,13.31,13.47,328500
ALCO,30-Aug-2012,31.83,31.9,31.08,31.19,4900
ALGN,30-Aug-2012,33.66,34.06,33.42,33.83,856200
ALGT,30-Aug-2012,66.01,67.13,65.63,66.33,80800
ALIM,30-Aug-2012,2.33,2.42,2.33,2.33,9800
ALKS,30-Aug-2012,18.47,18.56,18.23,18.53,806100
ALLT,30-Aug-2012,25.91,26.11,24.6,25.38,339200
ALNY,30-Aug-2012,18.39,18.6,18.3,18.44,345000
ALOG,30-Aug-2012,69.37,69.65,69.1,69.24,33900
ALOT,30-Aug-2012,7.8,7.86,7.68,7.85,4300
ALSK,30-Aug-2012,2.14,2.16,2.11,2.16,232900
ALXN,30-Aug-2012,105.75,106.16,104.89,105.6,778500
AMAG,30-Aug-2012,14.74,14.83,14.72,14.72,35500
AMAT,30-Aug-2012,11.61,11.63,11.45,11.47,9928400
AMCC,30-Aug-2012,5.31,5.31,5.13,5.13,135500
AMCN,30-Aug-2012,1.52,1.54,1.41,1.45,90600
AMCX,30-Aug-2012,38.72,39.1,38.72,39.07,205200
AMD,30-Aug-2012,3.75,3.8,3.7,3.7,12163200
AMED,30-Aug-2012,14.66,14.74,14.3,14.33,137000
AMGN,30-Aug-2012,83.24,83.39,82.59,83.15,3212900
AMKR,30-Aug-2012,4.64,4.66,4.6,4.61,661300
AMNB,30-Aug-2012,22.68,22.68,22.17,22.19,3400
AMOT,30-Aug-2012,6.08,6.09,6.02,6.09,2300
AMOV,30-Aug-2012,25.06,25.17,24.85,25.11,2900
AMRB,30-Aug-2012,6.73,6.85,6.71,6.8,6800
AMRI,30-Aug-2012,3.32,3.35,3.27,3.31,44200
AMRN,30-Aug-2012,13.01,13.07,12.94,13.02,2238500
AMRS,30-Aug-2012,3.25,3.25,3.1,3.11,219000
AMSC,30-Aug-2012,38.5,38.5,37.5,37.6,138300
AMSF,30-Aug-2012,25.67,25.77,25.28,25.28,66200
AMSG,30-Aug-2012,29.65,29.81,29.47,29.6,46200
AMSWA,30-Aug-2012,8.3,8.44,8.09,8.24,174700
AMWD,30-Aug-2012,19.25,19.25,18.87,18.98,7400
AMZN,30-Aug-2012,246.99,250,245.25,246.22,3647900
ANAT,30-Aug-2012,70.17,70.75,69.51,70.6,9100
ANCB,30-Aug-2012,11.5,11.5,11.5,11.5,600
ANCX,30-Aug-2012,14,14.08,13.79,13.85,16600
ANDAU,30-Aug-2012,10,10,10,10,0
ANDE,30-Aug-2012,26.7333,26.82,26.28,26.5333,110700
ANGI,30-Aug-2012,9.96,9.99,9.51,9.66,441800
ANGO,30-Aug-2012,11.32,11.38,11.29,11.31,101700
ANIK,30-Aug-2012,14.32,14.32,13.75,14.07,65700
ANSS,30-Aug-2012,69.39,69.83,69.3,69.46,555800
ANTH,30-Aug-2012,7.68,7.68,7.2,7.28,432100
AOSL,30-Aug-2012,9.7,9.7,9.36,9.47,60900
APEI,30-Aug-2012,33.23,33.48,33,33.3,94100
APOG,30-Aug-2012,15.86,15.87,15.66,15.78,26100
APOL,30-Aug-2012,26.45,26.53,25.98,26.46,948900
APPY,30-Aug-2012,11.76,12.48,11.2,11.6,48500
APRI,30-Aug-2012,28.7,29.3,28.2,29.1,31500
APWC,30-Aug-2012,2.95,2.95,2.95,2.95,0
ARAY,30-Aug-2012,6.19,6.22,6.08,6.12,144600
ARCC,30-Aug-2012,17.23,17.27,17.13,17.18,1220900
ARCI,30-Aug-2012,3.49,3.49,3.37,3.38,2500
ARCW,30-Aug-2012,2.94,2.94,2.94,2.94,0
AREX,30-Aug-2012,28.29,28.65,27.37,27.9,259300
ARIA,30-Aug-2012,20.43,20.6,20.36,20.51,1201900
ARII,30-Aug-2012,29.19,29.24,28.09,28.29,41800
ARKR,30-Aug-2012,16.19,16.34,15.99,16,2200
ARLP,30-Aug-2012,30.97,31.1,30.635,31,92400
ARNA,30-Aug-2012,9.23,9.34,9.1,9.11,6482900
AROW,30-Aug-2012,24.83,24.83,24.44,24.44,12200
