Symbol,Date,Open,High,Low,Close,Volume
AAME,11-Apr-2012,2.82,2.9,2.78,2.9,3500
AAON,11-Apr-2012,8.3333,8.3867,8.2,8.3778,85300
AAPL,11-Apr-2012,90.8857,90.9814,89.0486,89.4571,24878900
AAWW,11-Apr-2012,46.77,47.27,46,46.58,258000
AAXJ,11-Apr-2012,55.4,55.58,55.22,55.35,323800
ABAX,11-Apr-2012,27.51,27.62,27.33,27.57,107000
ABCB,11-Apr-2012,12.85,13.11,12.85,13.1,54200
ABCD,11-Apr-2012,2.38,2.63,2.36,2.63,24200
ABCO,11-Apr-2012,43.135,43.135,42.5,42.825,110800
ABIO,11-Apr-2012,29.4,32.34,29.4,29.82,41400
ABMD,11-Apr-2012,20.72,20.98,20.55,20.9,125500
ABTL,11-Apr-2012,4.6,4.7,4.6,4.6,52900
ACAD,11-Apr-2012,1.59,1.66,1.5,1.64,576100
ACAS,11-Apr-2012,8.26,8.35,8.25,8.31,1595100
ACAT,11-Apr-2012,40.5,42.33,40.5,42,315000
ACET,11-Apr-2012,9.29,9.44,9.22,9.29,147400
ACFC,11-Apr-2012,2.25,2.25,2.25,2.25,300
ACGL,11-Apr-2012,37.66,37.79,37.42,37.79,627800
ACHC,11-Apr-2012,15.17,15.42,14.4,14.89,53200
ACHN,11-Apr-2012,10.57,10.68,10.04,10.15,544100
ACIW,11-Apr-2012,13.02,13.1867,12.9167,13.1233,151400
ACLS,11-Apr-2012,6.16,6.48,6.08,6.08,561900
ACNB,11-Apr-2012,14.26,14.54,14.26,14.54,1000
ACOR,11-Apr-2012,24.87,25,24.51,24.62,350800
ACPW,11-Apr-2012,3.85,3.95,3.8,3.95,210600
ACRX,11-Apr-2012,3.45,3.45,3.2,3.22,13000
ACTG,11-Apr-2012,39.53,40,38.98,39.4,262100
ACTS,11-Apr-2012,1.66,1.7,1.65,1.7,26400
ACUR,11-Apr-2012,3.25,3.33,3.2,3.3,74600
ACWI,11-Apr-2012,45.76,45.78,45.51,45.57,913700
ACWX,11-Apr-2012,39.43,39.46,39.16,39.22,127400
ACXM,11-Apr-2012,13.91,13.96,13.75,13.93,308100
ADBE,11-Apr-2012,32.97,33.1,32.63,33.01,3586400
ADES,11-Apr-2012,11.16,11.34,11.09,11.125,70300
ADI,11-Apr-2012,37.97,38.28,37.87,37.94,1845300
ADP,11-Apr-2012,47.612,48.0071,47.3837,47.9544,2482300
ADRA,11-Apr-2012,24.95,24.97,24.65,24.94,2900
ADRD,11-Apr-2012,19.63,19.63,19.47,19.51,7500
ADRE,11-Apr-2012,41.04,41.06,40.79,40.83,21800
ADRU,11-Apr-2012,19.13,19.15,19.08,19.11,2700
ADSK,11-Apr-2012,40.15,40.15,39.39,39.62,3518800
ADTN,11-Apr-2012,28.35,31.19,28.19,30.73,3603200
ADUS,11-Apr-2012,4.84,4.96,4.83,4.96,11500
AEGN,11-Apr-2012,17.09,17.34,16.97,17.22,132700
AEGR,11-Apr-2012,13.48,13.73,13.27,13.45,51700
AEHR,11-Apr-2012,1.1,1.37,1.1,1.18,65100
AEIS,11-Apr-2012,12.1,12.26,12.08,12.26,242100
AEPI,11-Apr-2012,34.7,34.7,33.83,34.54,8800
AETI,11-Apr-2012,4.48,4.72,4.34,4.7,12700
AEY,11-Apr-2012,2.45,2.52,2.4,2.51,11000
AEZS,11-Apr-2012,468,468,408,432,1986800
AFAM,11-Apr-2012,24.12,24.76,24.09,24.3,81300
AFSI,11-Apr-2012,13.145,13.21,12.95,13.165,178600
AGEN,11-Apr-2012,6.19,6.48,6.11,6.45,216200
AGII,11-Apr-2012,28.92,28.92,28.42,28.72,53000
AGNC,11-Apr-2012,29.86,29.95,29.77,29.89,3669900
AGNCP,11-Apr-2012,25.09,25.12,24.98,25.1,113400
AGYS,11-Apr-2012,8.56,8.92,8.56,8.68,67600
AHGP,11-Apr-2012,39,39.9,39,39.81,158200
AHPI,11-Apr-2012,3.2,3.21,3.19,3.21,300
AIMC,11-Apr-2012,18,18.01,17.69,17.89,68200
AINV,11-Apr-2012,7.28,7.3,7.1,7.17,1318200
AIRM,11-Apr-2012,27.3333,28,27.3333,27.8067,72800
AIRT,11-Apr-2012,9.66,9.66,9.49,9.56,7200
AIXG,11-Apr-2012,16.65,16.72,16.46,16.52,68000
AKAM,11-Apr-2012,35.25,36.28,35.25,35.98,1911900
AKRX,11-Apr-2012,11.78,11.87,11.53,11.62,1725000
ALCO,11-Apr-2012,21.5,21.63,21.1,21.31,11400
ALGN,11-Apr-2012,26.69,26.77,26.3,26.75,496800
ALGT,11-Apr-2012,57.58,57.76,56.91,56.95,154600
ALIM,11-Apr-2012,3.26,3.27,3.17,3.2,70200
ALKS,11-Apr-2012,18.07,18.07,17.61,17.73,757700
ALLT,11-Apr-2012,23.46,24.18,23.33,23.53,430600
ALNY,11-Apr-2012,10.14,10.33,10.1,10.28,209400
ALOG,11-Apr-2012,64.5,64.6,63.86,64.29,74400
ALOT,11-Apr-2012,8.26,8.5,8.12,8.32,1600
ALSK,11-Apr-2012,2.6,2.67,2.59,2.6,474900
ALXN,11-Apr-2012,89.85,91.13,89.42,89.81,899700
AMAG,11-Apr-2012,15.75,15.97,15.53,15.86,110900
AMAT,11-Apr-2012,11.83,12,11.8,11.91,10200300
AMCC,11-Apr-2012,6.24,6.84,6.07,6.78,2381800
AMCN,11-Apr-2012,3.1,3.11,3.05,3.06,102700
AMCX,11-Apr-2012,43.45,43.45,42.4,42.51,1911100
AMD,11-Apr-2012,7.64,7.8,7.62,7.64,9540800
AMED,11-Apr-2012,13.07,13.54,13.07,13.39,431000
AMGN,11-Apr-2012,66.75,67.03,66.29,66.73,3132600
AMKR,11-Apr-2012,5.68,5.73,5.62,5.72,1341700
AMNB,11-Apr-2012,21.48,21.71,21.25,21.69,2600
AMOT,11-Apr-2012,7.45,7.64,7.35,7.62,7700
AMOV,11-Apr-2012,23.51,23.62,23.33,23.34,7200
AMRB,11-Apr-2012,7.14,7.23,7.13,7.14,2900
AMRI,11-Apr-2012,2.81,2.85,2.76,2.8,71100
AMRN,11-Apr-2012,9.63,9.75,9.43,9.71,2379600
AMRS,11-Apr-2012,3.76,3.8,3.67,3.69,370500
AMSC,11-Apr-2012,40,43.4,39.9,42.2,1241200
AMSF,11-Apr-2012,25.36,26.35,25.36,25.77,217400
AMSG,11-Apr-2012,26.82,27.06,26.63,26.9,80200
AMSWA,11-Apr-2012,8.15,8.43,8.15,8.31,55000
AMTD,11-Apr-2012,18.94,19.14,18.8,19.1,4817800
AMWD,11-Apr-2012,16.73,16.76,16.32,16.73,23900
AMZN,11-Apr-2012,189.63,191.97,186.79,187.97,4338200
ANAT,11-Apr-2012,69.68,70.73,68.37,70.39,9500
ANCB,11-Apr-2012,9.25,9.25,9.25,9.25,800
ANCX,11-Apr-2012,10.67,10.9,10.56,10.88,15100
ANDAU,11-Apr-2012,10,10,10,10,1700
ANDE,11-Apr-2012,32.08,32.4,31.8,32.3733,111200
ANGI,11-Apr-2012,14.6,15.22,14.5,14.58,68000
ANGO,11-Apr-2012,11.89,11.89,11.64,11.75,146300
ANIK,11-Apr-2012,14.5,15.17,13.5,13.81,394100
ANSS,11-Apr-2012,62.81,63.08,62.02,62.89,281600
ANTH,11-Apr-2012,16.72,17.04,16.16,16.88,371300
AOSL,11-Apr-2012,9.07,9.19,9.05,9.19,37600
APEI,11-Apr-2012,36.8,37.36,36.1,37.23,137500
APOG,11-Apr-2012,13.21,13.8,13.02,13.74,265500
APOL,11-Apr-2012,35.72,36.62,35.72,36.26,2407900
APPY,11-Apr-2012,33.6,33.6,33.12,33.12,7100
APRI,11-Apr-2012,28.8,29,28.5,28.5,151300
APWC,11-Apr-2012,3.27,3.3,3.27,3.3,600
ARAY,11-Apr-2012,6.66,6.84,6.58,6.82,395100
ARCC,11-Apr-2012,16,16.04,15.83,16,1233200
ARCI,11-Apr-2012,4.69,4.69,4.53,4.6,2900
ARCW,11-Apr-2012,1.18,1.18,1.18,1.18,100
AREX,11-Apr-2012,35.8,36,34.27,35,660900
ARIA,11-Apr-2012,15.08,15.25,14.9,15.14,3131100
ARII,11-Apr-2012,23.49,24.04,23.36,24.04,80900
ARKR,11-Apr-2012,15.46,15.51,15.27,15.27,5400
ARLP,11-Apr-2012,27.055,27.87,27,27.76,341100
ARNA,11-Apr-2012,2.98,3.1,2.94,3,7523400
AROW,11-Apr-2012,23.62,24.05,23.47,24,22200
ARQL,11-Apr-2012,7.7,7.95,7.66,7.87,3615300
ARRS,11-Apr-2012,10.98,11.1,10.93,10.95,710300
ARRY,11-Apr-2012,3.39,3.52,3.38,3.47,987000
ARTNA,11-Apr-2012,18.99,19.22,18.5,18.69,15200
ARTW,11-Apr-2012,7,7.68,7,7,24900
ARTX,11-Apr-2012,1.18,1.2,1.17,1.19,12400
ARWR,11-Apr-2012,6.68,6.82,6.5,6.7,16800
ASBB,11-Apr-2012,12.95,12.95,12.88,12.95,4500
ASCMA,11-Apr-2012,45.8,45.81,45,45.25,91700
ASFI,11-Apr-2012,7.92,8.01,7.85,7.95,17500
ASML,11-Apr-2012,47.26,47.72,47.06,47.11,2294500
ASNA,11-Apr-2012,21.17,21.41,21.04,21.25,1145400
ASPS,11-Apr-2012,57.74,58.27,56.81,57.29,177800
ASRV,11-Apr-2012,2.6,2.63,2.56,2.6,8000
ASRVP,11-Apr-2012,25.5,25.5,25.5,25.5,0
ASTC,11-Apr-2012,0.9,0.99,0.87,0.93,168300
ASTE,11-Apr-2012,35.22,35.26,34.28,35.04,231500
ASUR,11-Apr-2012,4.4867,4.66,4.4267,4.4867,7000
ASYS,11-Apr-2012,7.35,7.47,7.15,7.29,67100
ATAI,11-Apr-2012,6.97,7.38,6.95,7.38,2200
ATAX,11-Apr-2012,5.52,5.54,5.44,5.54,23800
ATEC,11-Apr-2012,26.04,27,25.8,26.88,154000
ATHN,11-Apr-2012,71.14,71.92,70.4,71.19,255800
ATHX,11-Apr-2012,1.5,1.54,1.39,1.43,333900
ATLO,11-Apr-2012,21.6,21.6,21.09,21.53,11100
ATNI,11-Apr-2012,34.31,34.38,33.53,34.02,21700
ATRC,11-Apr-2012,8.48,8.65,8.41,8.51,63000
ATRI,11-Apr-2012,212.57,216.48,212.57,216.48,1800
ATRO,11-Apr-2012,24.5083,24.75,24.2667,24.75,32900
ATSG,11-Apr-2012,5.1,5.19,5.06,5.19,140900
ATVI,11-Apr-2012,12.41,12.49,12.32,12.37,9199100
AUBN,11-Apr-2012,21.7,22.48,21.7,22.48,4600
AUDC,11-Apr-2012,2.65,2.69,2.65,2.67,21700
AVAV,11-Apr-2012,25.76,25.94,25.53,25.68,201600
AVEO,11-Apr-2012,11.44,11.52,10.82,10.91,456900
AVGO,11-Apr-2012,37.05,38.21,36.9,37.48,1594300
AVHI,11-Apr-2012,11.16,11.28,11.08,11.14,27700
AVID,11-Apr-2012,10.3,10.43,10.17,10.28,369100
AVNW,11-Apr-2012,31.44,31.68,30.72,31.2,158900
AWRE,11-Apr-2012,3.62,3.62,3.34,3.6,16700
AXAS,11-Apr-2012,2.93,3.03,2.86,2.91,1335900
AXTI,11-Apr-2012,5.71,6.03,5.66,5.89,207300
AZPN,11-Apr-2012,19.87,19.88,19.56,19.71,305500
BABY,11-Apr-2012,11.07,11.07,10.82,10.99,265800
BANF,11-Apr-2012,41.38,42.07,41.2,42.07,11000
BANFP,11-Apr-2012,28.36,28.36,28.36,28.36,0
BANR,11-Apr-2012,20.38,20.38,19.74,20.24,166200
BASI,11-Apr-2012,1.38,1.38,1.3,1.35,1200
BBBY,11-Apr-2012,69.65,70.62,69.65,70.07,1716400
BBGI,11-Apr-2012,4.2,4.2,4.2,4.2,0
BBOX,11-Apr-2012,23.57,23.85,23.35,23.66,66800
BBRG,11-Apr-2012,19.53,19.97,19.41,19.71,134700
BBRY,11-Apr-2012,12.94,13.23,12.66,13.05,17696200
BBSI,11-Apr-2012,20.12,20.47,19.94,20.47,16900
BCBP,11-Apr-2012,10.32,10.35,10.25,10.35,8300
BCOM,11-Apr-2012,8.02,8.55,7.95,7.95,2000
BCOV,11-Apr-2012,19.18,20.2,17.26,17.68,359900
BCPC,11-Apr-2012,29.09,29.24,28.8,28.99,147000
BCRX,11-Apr-2012,4.01,4.14,3.98,4.06,283000
BDE,11-Apr-2012,9.11,9.26,9.04,9.26,103300
BDGE,11-Apr-2012,20,20.61,19.62,20.59,13600
BDSI,11-Apr-2012,2.81,2.81,2.59,2.77,272900
BEAT,11-Apr-2012,3.04,3.09,3.04,3.09,59800
BEAV,11-Apr-2012,43.4,44.02,43.27,43.45,1019500
BEBE,11-Apr-2012,8.86,8.94,8.8,8.83,264900
BECN,11-Apr-2012,24.97,25.05,24.6,24.97,604100
BELFA,11-Apr-2012,17.88,17.88,17.58,17.6,700
BELFB,11-Apr-2012,16.11,16.54,15.97,16.53,33000
BFIN,11-Apr-2012,5.76,5.85,5.74,5.85,57200
BGCP,11-Apr-2012,6.83,6.86,6.72,6.84,858600
BGFV,11-Apr-2012,8.07,8.23,7.97,8.18,85800
BIB,11-Apr-2012,11.1013,11.3175,10.915,11.1813,3200
BICK,11-Apr-2012,25.64,25.64,25.33,25.35,10900
BIDU,11-Apr-2012,147,148,145.1,146.16,3965100
BIIB,11-Apr-2012,125.72,127.55,125.03,125.03,1792900
BIOC,11-Apr-2012,17.34,18.42,17.22,18.36,7100
BIOD,11-Apr-2012,2.24,2.28,2.16,2.2,123300
BIOS,11-Apr-2012,6.88,6.91,6.81,6.85,156900
BIS,11-Apr-2012,98,98,96.12,97.52,6100
BJRI,11-Apr-2012,47.86,48.74,47.81,47.9,431200
BKCC,11-Apr-2012,9.32,9.49,9.25,9.4,347700
BKEP,11-Apr-2012,6.95,6.95,6.78,6.8,2300
BKEPP,11-Apr-2012,8.95,8.95,8.95,8.95,0
BKMU,11-Apr-2012,3.83,3.83,3.75,3.8,123300
BKSC,11-Apr-2012,11.41,11.5,11.1,11.5,1200
BLDP,11-Apr-2012,1.4,1.42,1.37,1.37,59800
BLDR,11-Apr-2012,3.52,3.84,3.52,3.65,192700
BLIN,11-Apr-2012,6.75,6.75,6.65,6.7,7800
BLKB,11-Apr-2012,31.99,32.14,31.62,32.11,149500
BLMT,11-Apr-2012,11.25,11.3,11.22,11.29,7000
BLRX,11-Apr-2012,2.74,2.74,2.68,2.71,8800
BMRC,11-Apr-2012,36.67,36.75,36.53,36.75,4700
