Symbol,Date,Open,High,Low,Close,Volume
AAME,05-Sep-2012,2.69,2.7,2.66,2.7,3700
AAON,05-Sep-2012,8.1467,8.2578,8.0578,8.1645,65600
AAPL,05-Sep-2012,96.51,96.6214,95.6571,95.7471,12012900
AAWW,05-Sep-2012,52.08,52.74,51.04,51.43,246700
AAXJ,05-Sep-2012,52.46,52.46,52.2,52.4,340100
ABAX,05-Sep-2012,38.03,38.49,37.26,37.34,147400
ABCB,05-Sep-2012,12.12,12.15,11.89,12.08,50500
ABCD,05-Sep-2012,0.98,1.07,0.97,1.07,18800
ABCO,05-Sep-2012,45.65,46.25,45.06,45.74,274700
ABIO,05-Sep-2012,15.54,15.54,14.7,15.12,32600
ABMD,05-Sep-2012,22.84,22.93,22.51,22.72,506700
ABTL,05-Sep-2012,3.6,3.74,3.6,3.69,7500
ACAD,05-Sep-2012,1.8,1.86,1.73,1.82,1669000
ACAS,05-Sep-2012,11.13,11.3,11.12,11.29,3193800
ACAT,05-Sep-2012,43.44,43.72,42.9,43.11,157100
ACET,05-Sep-2012,9.04,9.1,8.95,9,111400
ACFC,05-Sep-2012,1.86,2,1.86,1.99,2200
ACGL,05-Sep-2012,40.2,40.27,39.84,39.9,417800
ACHC,05-Sep-2012,21.17,21.87,20.72,20.83,198600
ACHN,05-Sep-2012,7.08,7.24,7,7.01,1009200
ACIW,05-Sep-2012,14.92,15.1,14.8767,14.93,217700
ACLS,05-Sep-2012,4.16,4.16,3.96,4,390000
ACNB,05-Sep-2012,14.9,15,14.9,15,3400
ACOR,05-Sep-2012,22.91,24.2,22.91,24.09,624400
ACPW,05-Sep-2012,3.85,3.95,3.8,3.8,164600
ACRX,05-Sep-2012,2.94,3.07,2.94,2.94,1700
ACTG,05-Sep-2012,26.36,26.53,26.01,26.18,271200
ACTS,05-Sep-2012,1.64,1.64,1.62,1.62,6100
ACUR,05-Sep-2012,1.67,1.73,1.65,1.7,64800
ACWI,05-Sep-2012,45.35,45.42,45.16,45.25,635100
ACWX,05-Sep-2012,37.88,37.88,37.66,37.75,82000
ACXM,05-Sep-2012,17.84,17.9,17.51,17.84,668400
ADBE,05-Sep-2012,31.39,32.26,31.26,32.26,6289500
ADES,05-Sep-2012,11.915,12.12,11.915,12.11,23400
ADI,05-Sep-2012,39.34,39.48,39.01,39.3,1697700
ADP,05-Sep-2012,51.0271,51.2205,50.8254,51.0888,1167100
ADRA,05-Sep-2012,22.92,23.03,22.87,23.01,1400
ADRD,05-Sep-2012,19.33,19.34,19.24,19.24,3200
ADRE,05-Sep-2012,37.22,37.38,37.15,37.32,19700
ADRU,05-Sep-2012,19.33,19.33,19.33,19.33,500
ADSK,05-Sep-2012,31.49,31.63,31.01,31.3,1778700
ADTN,05-Sep-2012,20.15,20.44,19.95,20.08,1435900
ADUS,05-Sep-2012,4.76,5.24,4.76,4.95,42900
AEGN,05-Sep-2012,19.79,19.97,19.54,19.72,118800
AEGR,05-Sep-2012,14.43,14.69,14.27,14.61,71600
AEHR,05-Sep-2012,1.18,1.18,1.08,1.09,2300
AEIS,05-Sep-2012,13.11,13.29,13.03,13.11,361600
AEPI,05-Sep-2012,50.93,50.95,50.16,50.72,16900
AETI,05-Sep-2012,4.37,4.5,4.3,4.5,12300
AEY,05-Sep-2012,2.25,2.29,2.25,2.26,3500
AEZS,05-Sep-2012,300,300,282,288,550000
AFAM,05-Sep-2012,22.23,22.43,22.15,22.18,21700
AFSI,05-Sep-2012,13.145,13.17,13.01,13.085,296900
AGEN,05-Sep-2012,4.68,4.82,4.57,4.79,77400
AGII,05-Sep-2012,30.57,30.65,30.06,30.61,73900
AGNC,05-Sep-2012,34.88,34.88,34.68,34.79,3572900
AGNCP,05-Sep-2012,26.8,26.8,26.36,26.53,40300
AGYS,05-Sep-2012,8.38,8.38,8.21,8.27,26800
AHGP,05-Sep-2012,48.52,48.77,47.79,48.55,32100
AHPI,05-Sep-2012,2.57,2.75,2.57,2.75,5500
AIMC,05-Sep-2012,18.86,18.99,18.44,18.7,158800
AINV,05-Sep-2012,8.15,8.19,8.08,8.18,1986300
AIRM,05-Sep-2012,39.3067,39.7233,38.78,39.31,101800
AIRT,05-Sep-2012,8.1,8.12,7.81,8.08,10000
AIXG,05-Sep-2012,13.83,13.94,13.8,13.85,100900
AKAM,05-Sep-2012,37.75,38.35,37.39,37.71,2241200
AKRX,05-Sep-2012,14.5,14.72,14.44,14.61,1077000
ALCO,05-Sep-2012,30.54,31.71,28.69,29.4,27300
ALGN,05-Sep-2012,34.97,35.84,34.97,35.64,1305100
ALGT,05-Sep-2012,65.57,67.66,65.57,66.97,163100
ALIM,05-Sep-2012,2.33,2.42,2.25,2.34,22600
ALKS,05-Sep-2012,18.36,18.5,18.26,18.41,723900
ALLT,05-Sep-2012,26.68,26.81,25.91,26.09,215500
ALNY,05-Sep-2012,18.44,18.67,18.07,18.27,242500
ALOG,05-Sep-2012,69.43,69.96,69.2,69.58,50300
