Symbol,Date,Open,High,Low,Close,Volume
AAME,11-Sep-2012,2.66,2.74,2.66,2.74,4300
AAON,11-Sep-2012,8.4133,8.5333,8.3467,8.4889,30000
AAPL,11-Sep-2012,95.0157,95.7286,93.7857,94.37,17997800
AAWW,11-Sep-2012,56.41,56.81,55.62,55.72,220800
AAXJ,11-Sep-2012,54.18,54.5,54.12,54.42,86600
ABAX,11-Sep-2012,35.41,35.89,35.17,35.3,223100
ABCB,11-Sep-2012,12.28,12.45,12.28,12.42,29900
ABCD,11-Sep-2012,1.05,1.05,0.98,0.98,22200
ABCO,11-Sep-2012,46.01,46.17,45.71,45.99,125400
ABIO,11-Sep-2012,14.28,14.7,14.28,14.7,173200
ABMD,11-Sep-2012,20.43,20.87,19.95,20.39,894100
ABTL,11-Sep-2012,3.7,3.7,3.65,3.68,1500
ACAD,11-Sep-2012,2.08,2.2,2.03,2.05,2612100
ACAS,11-Sep-2012,11.43,11.54,11.4,11.51,1715300
ACAT,11-Sep-2012,45.5,46,43,44.29,265800
ACET,11-Sep-2012,9.11,9.4,9.1,9.37,119100
ACFC,11-Sep-2012,1.97,1.97,1.96,1.96,500
ACGL,11-Sep-2012,40.47,40.68,40.26,40.65,275800
ACHC,11-Sep-2012,21.7,22.08,21.35,22.03,273700
ACHN,11-Sep-2012,7.38,7.83,7.3,7.78,1119900
ACIW,11-Sep-2012,15.1533,15.18,14.9667,15.0533,164600
ACLS,11-Sep-2012,4,4.08,4,4.08,153100
ACNB,11-Sep-2012,14.99,15.16,14.8,15.16,15900
ACOR,11-Sep-2012,25.53,26.14,25.21,25.95,746000
ACPW,11-Sep-2012,4,4.05,3.9,4.05,190900
ACRX,11-Sep-2012,3.19,3.26,3.15,3.21,16400
ACTG,11-Sep-2012,26.66,26.94,26.22,26.53,341900
ACTS,11-Sep-2012,1.67,1.68,1.61,1.64,35700
ACUR,11-Sep-2012,1.74,1.8,1.74,1.76,24400
ACWI,11-Sep-2012,46.45,46.86,46.45,46.73,451400
ACWX,11-Sep-2012,39.11,39.48,39.1,39.42,92700
ACXM,11-Sep-2012,18.43,18.47,18.2,18.28,699900
ADBE,11-Sep-2012,32.06,32.59,31.94,32.43,3929100
ADES,11-Sep-2012,12,12.195,11.85,11.99,36800
ADI,11-Sep-2012,40.25,40.5,40,40.23,1991300
ADP,11-Sep-2012,51.7032,51.9316,51.5716,51.6593,1856100
ADRA,11-Sep-2012,23.81,23.95,23.81,23.95,900
ADRD,11-Sep-2012,20.05,20.24,20.03,20.16,6700
ADRE,11-Sep-2012,38.63,38.99,38.63,38.93,16100
ADRU,11-Sep-2012,20.04,20.24,20.04,20.22,2600
ADSK,11-Sep-2012,32.16,32.38,31.92,32.19,3609900
ADTN,11-Sep-2012,19.56,20.25,19.3,20.13,1124400
ADUS,11-Sep-2012,5.28,5.28,5.1,5.17,6300
