Symbol,Date,Open,High,Low,Close,Volume
AAME,16-Nov-2012,2.91,2.93,2.88,2.93,4000
AAON,16-Nov-2012,8.5733,8.5733,8.2355,8.5022,114900
AAPL,16-Nov-2012,75.0286,75.7143,72.25,75.3829,45246100
AAWW,16-Nov-2012,40.25,41.64,40.25,41.6,335300
AAXJ,16-Nov-2012,55.55,55.67,55.11,55.59,286400
ABAX,16-Nov-2012,35.59,35.59,34.59,34.89,89600
ABCB,16-Nov-2012,10.47,10.58,10.21,10.5,75800
ABCD,16-Nov-2012,0.94,0.98,0.94,0.98,7700
ABCO,16-Nov-2012,44.67,45.29,43.16,43.68,201200
ABIO,16-Nov-2012,10.5,10.92,10.5,10.5,20900
ABMD,16-Nov-2012,13.84,14.35,13.84,14.3,937800
ABTL,16-Nov-2012,3.93,3.95,3.85,3.95,13600
ACAD,16-Nov-2012,1.95,1.98,1.87,1.91,1005800
ACAS,16-Nov-2012,11.78,11.83,11.2,11.5,4204500
ACAT,16-Nov-2012,33.6,33.83,33.05,33.59,140400
ACET,16-Nov-2012,9.08,9.29,9.07,9.21,165900
ACFC,16-Nov-2012,2.05,2.05,2.05,2.05,0
ACGL,16-Nov-2012,42.86,43.52,42.66,43.52,783600
ACHC,16-Nov-2012,21.54,21.99,21.27,21.47,230000
ACHN,16-Nov-2012,7.42,7.51,7.11,7.2,1122300
ACIW,16-Nov-2012,13.8233,14.6067,13.63,13.7633,243100
ACLS,16-Nov-2012,3.44,3.52,3.36,3.4,213800
ACNB,16-Nov-2012,16.26,16.28,16.23,16.23,500
ACOR,16-Nov-2012,23.16,24.02,22.86,23.85,236900
ACPW,16-Nov-2012,2.9,3.15,2.9,2.9,249600
ACRX,16-Nov-2012,3.8,3.91,3.65,3.65,256200
ACTG,16-Nov-2012,23.53,24.18,23.06,23.44,1161600
ACTS,16-Nov-2012,1.58,1.59,1.58,1.58,39100
ACUR,16-Nov-2012,1.1,1.22,1.1,1.18,56200
ACWI,16-Nov-2012,45.06,45.21,44.68,45.18,1030300
ACWX,16-Nov-2012,38.64,38.64,38.2,38.59,192900
ACXM,16-Nov-2012,16.96,17.45,16.96,17.38,513900
ADBE,16-Nov-2012,32.58,32.75,32.26,32.65,3447200
ADES,16-Nov-2012,8.14,8.27,8.005,8.14,61600
ADI,16-Nov-2012,39.41,39.53,38.74,39.33,2003900
ADP,16-Nov-2012,47.9191,48.1035,47.4277,48.0598,2759400
ADRA,16-Nov-2012,23.32,23.7,23.32,23.68,6500
ADRD,16-Nov-2012,19.42,19.51,19.36,19.51,7200
ADRE,16-Nov-2012,37.42,37.49,37.05,37.44,33400
ADRU,16-Nov-2012,19.44,19.56,19.44,19.44,2200
ADSK,16-Nov-2012,30.82,31.99,30.53,31.48,7940200
ADTN,16-Nov-2012,17.88,17.88,17.37,17.74,842900
ADUS,16-Nov-2012,5.76,6.09,5.76,6.06,16400
AEGN,16-Nov-2012,17.78,18.19,17.6,18.07,192100
AEGR,16-Nov-2012,19.8,20.37,19.41,20.22,999000
AEHR,16-Nov-2012,0.75,0.8,0.75,0.8,40900
AEIS,16-Nov-2012,11.26,11.79,11.19,11.75,232900
AEPI,16-Nov-2012,58.01,58.01,57.05,57.61,28000
AETI,16-Nov-2012,4.68,4.68,4.68,4.68,200
AEY,16-Nov-2012,1.98,1.98,1.95,1.95,1900
AEZS,16-Nov-2012,187,196,180,193,268400
AFAM,16-Nov-2012,18.18,18.62,17.87,18.29,120100
AFSI,16-Nov-2012,13.21,13.435,13.1,13.42,268900
AGEN,16-Nov-2012,3.49,3.57,3.39,3.52,83200
AGII,16-Nov-2012,31.93,31.98,31.34,31.66,162500
AGIIL,16-Nov-2012,25.05,25.37,25,25.14,20900
AGNC,16-Nov-2012,30.27,31.22,30.15,30.99,12816600
AGNCP,16-Nov-2012,25.5,25.74,25.5,25.61,43900
AGYS,16-Nov-2012,7.41,7.67,7.41,7.6,25200
AHGP,16-Nov-2012,44.32,46.44,43.7,45.38,55300
AHPI,16-Nov-2012,2.51,2.52,2.48,2.49,7600
AIMC,16-Nov-2012,16.64,16.84,16.5,16.74,77600
AINV,16-Nov-2012,7.56,7.73,7.41,7.73,2832700
AIRM,16-Nov-2012,36.01,36.4267,35.1633,35.3467,71400
AIRT,16-Nov-2012,8.2,8.22,8.2,8.22,200
AIXG,16-Nov-2012,12,12.11,11.83,12.04,227000
AKAM,16-Nov-2012,36.24,36.57,35.52,36.1,2172700
AKRX,16-Nov-2012,12.5,12.82,12.5,12.76,472800
ALCO,16-Nov-2012,31.5,32.25,31,31.78,32800
ALGN,16-Nov-2012,25.88,26.15,25.12,26.12,1891200
ALGT,16-Nov-2012,70.75,72.67,70.44,71.14,113700
ALIM,16-Nov-2012,2.09,2.17,2.02,2.04,61800
ALKS,16-Nov-2012,18.94,19.58,18.6,19.49,976900
ALLT,16-Nov-2012,20.9,20.9,19.44,19.47,693800
ALNY,16-Nov-2012,15.25,16.08,15.01,16,350200
ALOG,16-Nov-2012,70.73,71.43,70,71.01,69400
ALOT,16-Nov-2012,8.81,8.81,8.81,8.81,0
ALSK,16-Nov-2012,1.92,1.93,1.9,1.93,324200
ALXN,16-Nov-2012,88.44,91.49,88.26,90.91,1540300
AMAG,16-Nov-2012,15.35,15.46,14.09,15.19,282700
AMAT,16-Nov-2012,10.31,10.34,9.95,10.15,24263500
AMBA,16-Nov-2012,8.35,8.88,8.23,8.71,162300
AMCC,16-Nov-2012,6.09,6.14,5.79,6.08,655100
AMCN,16-Nov-2012,1.85,1.85,1.59,1.71,29800
AMCX,16-Nov-2012,50.57,51.23,49.8,50.82,303100
AMD,16-Nov-2012,1.87,1.9,1.81,1.86,23510500
AMED,16-Nov-2012,9.65,9.74,9.52,9.65,296700
AMGN,16-Nov-2012,84.34,84.99,83.45,84.54,6370700
AMKR,16-Nov-2012,3.84,3.88,3.65,3.81,1278100
AMNB,16-Nov-2012,18.7,18.91,18.5,18.65,21400
AMOT,16-Nov-2012,6.45,6.5,6.42,6.5,5600
AMOV,16-Nov-2012,23.12,23.32,23.02,23.32,13900
AMRB,16-Nov-2012,6.63,6.81,6.52,6.67,3900
AMRI,16-Nov-2012,3.69,3.86,3.69,3.78,48000
AMRN,16-Nov-2012,11.15,11.37,10.4,10.84,7830000
