Symbol,Date,Open,High,Low,Close,Volume
AAME,04-Jun-2012,2.55,2.78,2.55,2.78,13100
AAON,04-Jun-2012,8.1422,8.28,8.0667,8.2578,42600
AAPL,04-Jun-2012,80.2143,81.0714,78.3571,80.6129,19892400
AAWW,04-Jun-2012,42.39,42.39,40.44,41.12,487600
AAXJ,04-Jun-2012,49.32,49.58,49.07,49.39,481400
ABAX,04-Jun-2012,31.72,32.06,31.43,31.55,105000
ABCB,04-Jun-2012,10.99,11.27,10.9,11.19,52200
ABCD,04-Jun-2012,1.19,1.25,1.19,1.23,11600
ABCO,04-Jun-2012,47.545,48.35,47.005,47.205,142400
ABIO,04-Jun-2012,21.42,21.42,19.32,20.16,51400
ABMD,04-Jun-2012,19.53,20.1,19.18,19.77,979300
ABTL,04-Jun-2012,3.75,3.75,3.6,3.75,84900
ACAD,04-Jun-2012,1.33,1.34,1.3,1.33,106300
ACAS,04-Jun-2012,8.82,8.95,8.78,8.84,6366400
ACAT,04-Jun-2012,34.23,34.26,32.24,33.7,331700
ACET,04-Jun-2012,8.41,8.48,8.35,8.36,230000
ACFC,04-Jun-2012,2.26,2.26,2,2.12,5500
ACGL,04-Jun-2012,37.4,37.66,37.2,37.34,379600
ACHC,04-Jun-2012,17.75,17.75,15.57,15.87,1296600
ACHN,04-Jun-2012,6.97,7.11,6.81,6.96,290600
ACIW,04-Jun-2012,12.33,12.44,12.2067,12.4133,215400
ACLS,04-Jun-2012,4.28,4.56,4.24,4.48,415900
ACNB,04-Jun-2012,14.41,14.41,14.41,14.41,0
ACOR,04-Jun-2012,22.01,22.38,21.61,22.26,249500
ACPW,04-Jun-2012,3.85,3.9,3.75,3.9,107000
ACRX,04-Jun-2012,2.97,3.1,2.89,3,4200
ACTG,04-Jun-2012,33.49,33.76,32.44,33.3,336100
ACTS,04-Jun-2012,1.68,1.68,1.64,1.67,46700
ACUR,04-Jun-2012,2.67,2.76,2.61,2.68,19700
ACWI,04-Jun-2012,41.45,41.58,41.06,41.39,1200500
ACWX,04-Jun-2012,35.05,35.15,34.76,35.03,535100
ACXM,04-Jun-2012,13.74,13.87,13.5,13.57,524400
ADBE,04-Jun-2012,29.88,30.62,29.88,30.31,3668000
ADES,04-Jun-2012,12.64,12.66,12,12.295,44900
ADI,04-Jun-2012,35.87,36.2,35.18,35.68,2661400
ADP,04-Jun-2012,44.9078,45.3029,44.8375,45.2589,2389000
ADRA,04-Jun-2012,21.98,21.98,21.62,21.75,1800
ADRD,04-Jun-2012,17.39,17.44,17.32,17.44,5200
ADRE,04-Jun-2012,35.51,35.77,35.4,35.62,43600
ADRU,04-Jun-2012,17.24,17.24,17.13,17.13,300
ADSK,04-Jun-2012,30.95,31.23,30.05,30.83,3968600
ADTN,04-Jun-2012,27.7,28.41,27.49,28.02,642300
ADUS,04-Jun-2012,3.86,3.93,3.57,3.9,15500
AEGN,04-Jun-2012,15.13,15.32,14.49,14.63,173900
AEGR,04-Jun-2012,14.48,15.18,14.48,15.02,49600
AEHR,04-Jun-2012,1.16,1.16,1.16,1.16,2800
AEIS,04-Jun-2012,13.1,13.21,12.86,13.02,326000
AEPI,04-Jun-2012,34.67,34.84,34.35,34.71,15600
AETI,04-Jun-2012,4.38,4.5,4.3,4.46,900
AEY,04-Jun-2012,2.21,2.22,2.21,2.21,2300
AEZS,04-Jun-2012,258,276,258,264,1524200
AFAM,04-Jun-2012,20.36,21.09,20.36,20.94,54100
AFSI,04-Jun-2012,14.28,14.8,14.185,14.765,480900
AGEN,04-Jun-2012,5.04,5.14,4.89,5.04,123300
AGII,04-Jun-2012,27.73,28.19,27.6,27.99,140600
AGNC,04-Jun-2012,32.11,32.38,32.06,32.22,4850200
AGNCP,04-Jun-2012,25.56,25.56,25.36,25.45,29700
AGYS,04-Jun-2012,7.3,7.42,7.15,7.32,73900
AHGP,04-Jun-2012,40.5,40.99,39.31,39.9,103900
AHPI,04-Jun-2012,3.14,3.27,3.14,3.24,2700
AIMC,04-Jun-2012,15.94,15.95,15.29,15.5,141900
AINV,04-Jun-2012,7.29,7.34,7.2,7.21,1239100
AIRM,04-Jun-2012,30.0533,30.33,29.1167,29.5433,106100
AIRT,04-Jun-2012,9.26,9.26,9.26,9.26,20200
AIXG,04-Jun-2012,13.56,13.88,13.51,13.88,263900
AKAM,04-Jun-2012,28.16,28.73,28.02,28.36,2810500
AKRX,04-Jun-2012,13.36,13.89,13.24,13.85,886400
ALCO,04-Jun-2012,23.83,24.38,23.41,24.18,14200
ALGN,04-Jun-2012,29.72,29.95,28.62,28.87,1159600
ALGT,04-Jun-2012,64.34,64.88,62.16,62.26,260100
ALIM,04-Jun-2012,2.74,2.91,2.74,2.87,21300
ALKS,04-Jun-2012,15.13,15.45,15.05,15.27,1356600
ALLT,04-Jun-2012,24.64,25.27,23.75,25.23,811100
ALNY,04-Jun-2012,10.2,10.46,10.1,10.42,189400
ALOG,04-Jun-2012,64.71,64.76,63.5,63.79,46500
ALOT,04-Jun-2012,8.1,8.15,8.02,8.15,4500
ALSK,04-Jun-2012,1.93,1.95,1.85,1.88,339400
ALXN,04-Jun-2012,87.5,88.48,86.64,88.39,1989600
AMAG,04-Jun-2012,13.68,13.97,13.44,13.72,115700
AMAT,04-Jun-2012,10.08,10.16,9.98,10.1,14961400
AMCC,04-Jun-2012,5.49,5.67,5.46,5.66,683600
AMCN,04-Jun-2012,2.23,2.24,2.16,2.18,75700
AMCX,04-Jun-2012,37.08,38.21,36.91,38.11,793400
AMD,04-Jun-2012,5.76,5.83,5.52,5.63,15582000
AMED,04-Jun-2012,10.62,10.63,10.31,10.48,418400
AMGN,04-Jun-2012,67.77,68.93,67.77,68.7,4606500
AMKR,04-Jun-2012,4.66,4.66,4.5,4.56,1296700
AMNB,04-Jun-2012,21.91,21.91,21.31,21.54,14400
AMOT,04-Jun-2012,5.7,5.78,5.61,5.76,15600
AMOV,04-Jun-2012,22.83,23.26,22.77,23.26,12700
AMRB,04-Jun-2012,7.19,7.21,7.16,7.21,25800
AMRI,04-Jun-2012,2.4,2.47,2.28,2.3,147200
AMRN,04-Jun-2012,10.81,11.11,10.34,11.09,3275700
AMRS,04-Jun-2012,2.5,2.5,2.21,2.33,461900
AMSC,04-Jun-2012,38.9,39.7,37.5,39.4,345700
AMSF,04-Jun-2012,27.18,27.47,26.93,27.31,45200
AMSG,04-Jun-2012,26.81,26.93,26.34,26.76,55400
AMSWA,04-Jun-2012,7.81,7.97,7.81,7.96,83700
AMWD,04-Jun-2012,16.71,16.8,16.37,16.48,29000
