Symbol,Date,Open,High,Low,Close,Volume
AAME,01-Jun-2012,2.75,2.78,2.7,2.78,2100
AAON,01-Jun-2012,8.1022,8.2267,8.0755,8.1022,77200
AAPL,01-Jun-2012,81.3086,81.8071,80.0743,80.1414,18606400
AAWW,01-Jun-2012,44.34,46.32,42.17,42.3,276500
AAXJ,01-Jun-2012,49.74,50.01,49.42,49.46,407400
ABAX,01-Jun-2012,32.01,32.43,31.63,31.68,116300
ABCB,01-Jun-2012,11.25,11.31,10.88,10.88,63400
ABCD,01-Jun-2012,1.2,1.28,1.15,1.19,40000
ABCO,01-Jun-2012,47.67,47.86,47.275,47.395,88500
ABIO,01-Jun-2012,19.74,22.68,19.74,21,97600
ABMD,01-Jun-2012,19.84,20.27,18.74,18.91,818700
ABTL,01-Jun-2012,3.55,3.75,3.55,3.75,48500
ACAD,01-Jun-2012,1.35,1.37,1.29,1.31,395100
ACAS,01-Jun-2012,9.06,9.1,8.68,8.84,9279500
ACAT,01-Jun-2012,35.41,36.09,33.43,34.13,242800
ACET,01-Jun-2012,8.35,8.53,8.35,8.39,255100
ACFC,01-Jun-2012,2.35,2.35,2.35,2.35,200
ACGL,01-Jun-2012,37.83,38.06,37.5,37.61,607900
ACHC,01-Jun-2012,17.86,18.5,17.66,17.92,323200
ACHN,01-Jun-2012,7.08,7.15,6.81,6.89,712600
ACIW,01-Jun-2012,12.4133,12.5967,12.3,12.3133,363100
ACLS,01-Jun-2012,4.36,4.6,4.36,4.36,503600
ACNB,01-Jun-2012,14.45,14.55,14.41,14.41,1900
ACOR,01-Jun-2012,21.47,22.05,21.26,21.84,306100
ACPW,01-Jun-2012,3.95,4,3.75,3.85,180900
ACRX,01-Jun-2012,2.9,3.25,2.89,3.25,2000
ACTG,01-Jun-2012,33.64,34.02,33.3,33.34,289100
ACTS,01-Jun-2012,1.65,1.66,1.62,1.64,121700
ACUR,01-Jun-2012,2.77,2.84,2.67,2.67,27600
ACWI,01-Jun-2012,41.63,41.74,41.26,41.27,940400
ACWX,01-Jun-2012,35.08,35.22,34.78,34.8,187600
ACXM,01-Jun-2012,13.72,13.88,13.45,13.7,753700
ADBE,01-Jun-2012,30.37,30.62,29.81,29.82,4361900
ADES,01-Jun-2012,12.795,12.975,12.445,12.625,31100
ADI,01-Jun-2012,35.58,36.28,35.58,35.74,3471600
ADP,01-Jun-2012,45.1185,45.4696,44.6795,44.7058,2995000
ADRA,01-Jun-2012,22,22,21.99,21.99,6000
ADRD,01-Jun-2012,17.32,17.45,17.28,17.38,13400
ADRE,01-Jun-2012,35.53,35.97,35.49,35.52,82400
ADRU,01-Jun-2012,17.07,17.13,17.05,17.06,2600
ADSK,01-Jun-2012,31.27,31.39,30.74,30.84,3728400
ADTN,01-Jun-2012,28.56,28.79,28.22,28.32,606900
ADUS,01-Jun-2012,3.9,3.93,3.76,3.82,1400
AEGN,01-Jun-2012,15.35,15.87,15.05,15.09,262800
AEGR,01-Jun-2012,14.73,15.21,14.39,14.41,64700
AEHR,01-Jun-2012,1.23,1.25,1.15,1.25,3300
AEIS,01-Jun-2012,13.27,13.41,12.91,13.04,569200
AEPI,01-Jun-2012,34.08,34.75,33.35,34.53,18800
AETI,01-Jun-2012,4.21,4.48,4.21,4.46,18300
AEY,01-Jun-2012,2.15,2.24,2.15,2.16,2600
AEZS,01-Jun-2012,282,288,270,282,698700
AFAM,01-Jun-2012,21.65,21.98,20.76,21.04,56100
AFSI,01-Jun-2012,14.18,14.33,14.075,14.27,210400
AGEN,01-Jun-2012,5.15,5.15,4.89,5.07,139700
AGII,01-Jun-2012,27.6,27.89,27.42,27.62,137200
AGNC,01-Jun-2012,32.53,32.57,32.25,32.3,7387800
AGNCP,01-Jun-2012,25.45,25.52,25.35,25.39,36900
AGYS,01-Jun-2012,7.07,7.35,7.07,7.25,73800
AHGP,01-Jun-2012,41.32,41.39,40.08,40.5,43500
AHPI,01-Jun-2012,3.09,3.15,3.09,3.15,2200
AIMC,01-Jun-2012,16.23,16.43,15.82,15.87,79500
AINV,01-Jun-2012,7.29,7.38,7.25,7.27,2444800
AIRM,01-Jun-2012,29.9967,30.3033,29.5367,29.7067,60300
AIRT,01-Jun-2012,9.12,9.47,9.11,9.47,300
AIXG,01-Jun-2012,14.12,14.21,13.94,13.95,181300
AKAM,01-Jun-2012,28.6,28.76,28.11,28.2,2712100
AKRX,01-Jun-2012,13.46,13.58,13.24,13.3,786200
ALCO,01-Jun-2012,23.94,24.5,23.31,23.44,26900
