Date,Symbol,Open,High,Low,Close,Volume
2016-11-03,SPY,209.990005,210.240005,208.460007,208.779999,88939300
2016-11-02,SPY,210.649994,211.100006,209.229996,209.740005,103330800
2016-11-01,SPY,212.929993,212.990005,209.600006,211.009995,122781800
2016-10-31,SPY,212.929993,213.190002,212.360001,212.550003,61272500
2016-10-28,SPY,213.139999,213.929993,211.710007,212.539993,140623200
2016-10-27,SPY,214.580002,214.619995,213.080002,213.169998,77220200
2016-10-26,SPY,213.210007,214.419998,212.929993,213.740005,75705500
2016-10-25,SPY,214.679993,214.979996,213.979996,214.169998,66542300
2016-10-24,SPY,215.00,215.320007,214.479996,214.889999,60146600
2016-10-21,SPY,213.880005,214.080002,212.759995,213.979996,89089100
2016-10-20,SPY,213.869995,214.529999,213.110001,213.880005,73639800
2016-10-19,SPY,214.020004,214.639999,213.600006,214.279999,66519200
2016-10-18,SPY,214.240005,214.309998,213.270004,213.710007,76869700
2016-10-17,SPY,213.089996,213.389999,212.169998,212.380005,58275700
2016-10-14,SPY,214.149994,214.690002,213.029999,213.119995,93346200
2016-10-13,SPY,212.160004,213.589996,211.210007,213.009995,101357000
2016-10-12,SPY,213.589996,214.320007,213.009995,213.710007,73866100
2016-10-11,SPY,215.660004,215.740005,212.580002,213.429993,130367400
2016-10-10,SPY,216.160004,216.699997,215.990005,216.160004,51855000
2016-10-07,SPY,216.100006,216.300003,214.190002,215.039993,89788300
2016-10-06,SPY,215.369995,216.039993,214.740005,215.779999,62927400
2016-10-05,SPY,215.410004,216.130005,215.330002,215.630005,72816000
2016-10-04,SPY,215.910004,216.169998,213.990005,214.679993,119948100
2016-10-03,SPY,215.820007,216.039993,215.039993,215.779999,83512100
2016-09-30,SPY,215.649994,217.119995,215.360001,216.300003,117202900
2016-09-29,SPY,216.399994,216.869995,214.039993,214.679993,128070600
2016-09-28,SPY,215.830002,216.820007,214.710007,216.639999,87411000
2016-09-27,SPY,214.050003,215.679993,213.619995,215.570007,78494800
2016-09-26,SPY,215.020004,215.229996,214.009995,214.240005,89827300
2016-09-23,SPY,216.720001,216.880005,215.880005,215.990005,73630900
2016-09-22,SPY,217.00,217.529999,216.710007,217.179993,76678700
2016-09-21,SPY,214.240005,216.029999,213.440002,215.820007,110284400
2016-09-20,SPY,214.410004,214.589996,213.380005,213.419998,69665300
2016-09-19,SPY,214.130005,214.880005,213.029999,213.410004,80250500
2016-09-16,SPY,213.479996,213.690002,212.570007,213.369995,155236400
2016-09-15,SPY,212.960007,215.729996,212.75,214.197992,134427900
2016-09-14,SPY,213.289993,214.699997,212.50,212.078693,134185500
2016-09-13,SPY,214.839996,215.149994,212.50,212.158293,182828800
2016-09-12,SPY,212.389999,216.809998,212.309998,215.252662,168110900
2016-09-09,SPY,216.970001,217.029999,213.25,212.208044,221589100
2016-09-08,SPY,218.619995,218.940002,218.149994,217.411754,74102900
2016-09-07,SPY,218.839996,219.220001,218.300003,217.909241,76554900
2016-09-06,SPY,218.699997,219.119995,217.860001,217.929145,56702100
2016-09-02,SPY,218.389999,218.869995,217.699997,217.272458,79293900
2016-09-01,SPY,217.369995,217.729996,216.029999,216.297388,97844200
2016-08-31,SPY,217.610001,217.75,216.470001,216.287444,85269500
2016-08-30,SPY,218.259995,218.589996,217.350006,216.904323,58114500
2016-08-29,SPY,217.440002,218.669998,217.399994,217.262514,70502200
2016-08-26,SPY,217.919998,219.119995,216.25,216.197885,122506300
2016-08-25,SPY,217.399994,218.190002,217.220001,216.605828,69224800
2016-08-24,SPY,218.800003,218.910004,217.360001,216.755083,71728900
2016-08-23,SPY,219.25,219.600006,218.899994,217.869449,53399200
2016-08-22,SPY,218.259995,218.800003,217.830002,217.431658,61368800
2016-08-19,SPY,218.309998,218.75,217.740005,217.441602,75443000
2016-08-18,SPY,218.339996,218.899994,218.210007,217.760001,52989300
2016-08-17,SPY,218.00,218.529999,217.020004,217.272458,75134300
2016-08-16,SPY,218.600006,218.679993,217.960007,216.86453,53213600
2016-08-15,SPY,218.889999,219.50,218.880005,217.988841,49813500
2016-08-12,SPY,218.289993,218.710007,217.990005,217.362017,61313500
2016-08-11,SPY,218.259995,218.940002,217.949997,217.55105,72504300
2016-08-10,SPY,218.309998,218.399994,217.229996,216.546132,57941100
2016-08-09,SPY,218.130005,218.759995,217.800003,217.083411,51251700
2016-08-08,SPY,218.399994,218.520004,217.740005,216.954074,39906500
2016-08-05,SPY,216.410004,218.229996,216.410004,217.083411,71892200
2016-08-04,SPY,216.309998,216.779999,214.25,215.322318,46585500
2016-08-03,SPY,215.479996,216.25,215.130005,215.093463,53993600
2016-08-02,SPY,216.649994,216.830002,214.570007,214.46664,92295500
2016-08-01,SPY,217.190002,217.649994,216.410004,215.849653,73311400
2016-07-29,SPY,216.460007,217.539993,216.130005,216.028741,79519400
2016-07-28,SPY,216.289993,217.110001,215.75,215.680509,65035700
2016-07-27,SPY,217.190002,217.270004,215.619995,215.431766,84083900
2016-07-26,SPY,216.529999,217.169998,215.759995,215.660605,70080500
2016-07-25,SPY,217.00,217.059998,215.970001,215.561102,55873100
