"date","close","volume","open","high","low"

"2016/09/23","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/22","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/21","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/20","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/19","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/16","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/15","0.0600","1250.0000","0.0600","0.0600","0.0600"
"2016/09/14","0.0658","400.0000","0.0658","0.0658","0.0658"
"2016/09/13","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/12","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/09","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/09/08","0.0600","1000.0000","0.0600","0.0600","0.0600"
"2016/09/07","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/09/06","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/09/02","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/09/01","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/08/31","0.1000","800.0000","0.0920","0.1000","0.0920"
"2016/08/30","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/29","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/26","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/25","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/24","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/23","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/22","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/19","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/18","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/17","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/16","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/15","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/12","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/11","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/10","0.0650","1000.0000","0.0650","0.0650","0.0650"
"2016/08/09","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/08","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/05","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/04","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/03","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/08/02","0.0650","250.0000","0.0650","0.0650","0.0650"
"2016/08/01","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/29","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/28","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/27","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/26","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/25","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/22","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/21","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/20","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/19","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/18","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/15","0.0650","900.0000","0.0650","0.0650","0.0650"
"2016/07/14","0.0870","0.0000","0.0870","0.0870","0.0870"
"2016/07/13","0.0870","0.0000","0.0870","0.0870","0.0870"
"2016/07/12","0.0870","0.0000","0.0870","0.0870","0.0870"
"2016/07/11","0.0870","0.0000","0.0870","0.0870","0.0870"
"2016/07/08","0.0870","200.0000","0.1000","0.1000","0.0870"
"2016/07/07","0.0650","745.0000","0.0650","0.0650","0.0650"
"2016/07/06","0.0650","350.0000","0.0650","0.0650","0.0650"
"2016/07/05","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/07/01","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/30","0.0650","9249.0000","0.0650","0.0650","0.0650"
"2016/06/29","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/06/28","0.1000","350.0000","0.1000","0.1000","0.1000"
"2016/06/27","0.0710","0.0000","0.0710","0.0710","0.0710"
"2016/06/24","0.0710","0.0000","0.0710","0.0710","0.0710"
"2016/06/23","0.0710","0.0000","0.0710","0.0710","0.0710"
"2016/06/22","0.0710","0.0000","0.0710","0.0710","0.0710"
"2016/06/21","0.0710","0.0000","0.0710","0.0710","0.0710"
"2016/06/20","0.0710","0.0000","0.0710","0.0710","0.0710"
"2016/06/17","0.0710","0.0000","0.0710","0.0710","0.0710"
"2016/06/16","0.0710","0.0000","0.0710","0.0710","0.0710"
"2016/06/15","0.0710","600.0000","0.0710","0.0710","0.0710"
"2016/06/14","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/13","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/10","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/09","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/08","0.0650","1000.0000","0.0720","0.0720","0.0650"
"2016/06/07","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/06","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/03","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/02","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/06/01","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/05/31","0.0650","1425.0000","0.0650","0.0650","0.0650"
"2016/05/27","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/05/26","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/05/25","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/05/24","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/05/23","0.1000","0.0000","0.1000","0.1000","0.1000"
"2016/05/20","0.1000","4000.0000","0.1000","0.1000","0.1000"
"2016/05/19","0.1000","3000.0000","0.1000","0.1000","0.1000"
"2016/05/18","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/05/17","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/05/16","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/05/13","0.0650","0.0000","0.0650","0.0650","0.0650"
"2016/05/12","0.0650","10999.0000","0.0650","0.0650","0.0650"
"2016/05/11","0.0650","2500.0000","0.0650","0.0650","0.0650"
"2016/05/10","0.0650","500.0000","0.0650","0.0650","0.0650"
"2016/05/09","0.0949","0.0000","0.0949","0.0949","0.0949"
"2016/05/06","0.0949","0.0000","0.0949","0.0949","0.0949"
"2016/05/05","0.0949","0.0000","0.0949","0.0949","0.0949"
"2016/05/04","0.0949","0.0000","0.0949","0.0949","0.0949"
"2016/05/03","0.0949","0.0000","0.0949","0.0949","0.0949"
"2016/05/02","0.0949","200.0000","0.0950","0.0950","0.0949"
"2016/04/29","0.0949","4500.0000","0.0950","0.0950","0.0949"
"2016/04/28","0.0650","5130.0000","0.0650","0.0650","0.0650"
"2016/04/27","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/04/26","0.0600","0.0000","0.0600","0.0600","0.0600"
"2016/04/25","0.0600","13000.0000","0.0640","0.0640","0.0600"
